Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.4572492	4.90306	36.0	-1.0	14.780669	-0.19781443	2.9802322e-08	-0.1978144	-0.1978144	4000	4.967054e-09	27.25415	-0.0023536226	-0.33187008	2.2833683	0.0021734242	0.00025025025	79.0	5.003046989440918
1	1.6372881	3.3376079	19.0	-1.0	13.39322	-0.11827983	7.450581e-09	-0.11827982	-0.11827982	8000	-1.3659398e-08	11.134537	-0.0039002823	-0.11707219	2.2801497	0.015593037	0.12712713	14.0	8.216452836990356
2	2.104895	4.2684617	27.0	-1.0	13.870629	-0.06532121	7.450581e-09	-0.0653212	-0.0653212	12000	1.4901161e-08	17.131132	-0.011896049	-0.19242096	2.2536433	0.005853647	0.075325325	79.0	13.310968160629272
3	2.0489511	4.3223743	23.0	-1.0	13.867133	0.0031726682	0.0	0.0031726682	0.0031726682	16000	-2.4835268e-08	18.617685	-0.015023095	-0.22061507	2.2641351	0.010685039	0.09484485	79.0	18.39371395111084
4	3.4267242	5.839356	44.0	-1.0	16.775862	0.07838423	0.0	0.07838423	0.07838423	20000	-5.9604645e-08	43.40811	-0.021805078	-0.5869179	2.2426465	0.006201515	0.0990991	79.0	23.495264053344727
5	3.6266668	5.9675565	44.0	-1.0	17.515556	0.19284299	1.4901161e-08	0.192843	0.192843	24000	4.967054e-09	39.59129	-0.021470375	-0.5344836	2.227086	0.010735385	0.10635636	79.0	28.574952840805054
6	4.25	6.045103	30.0	-1.0	18.596153	0.29843527	2.9802322e-08	0.2984353	0.2984353	28000	3.7252903e-09	41.657898	-0.022268644	-0.59926826	2.1992323	0.008349556	0.11236236	79.0	33.644739866256714
7	5.0653267	8.078182	59.0	-1.0	19.693468	0.40506595	0.0	0.40506595	0.40506595	32000	-2.9802322e-08	79.09009	-0.025281006	-0.8644924	2.1584857	0.010923576	0.1539039	79.0	38.74919080734253
8	5.839779	7.3576183	35.0	-1.0	21.59116	0.5257052	5.9604645e-08	0.52570516	0.52570516	36000	1.2417634e-08	62.570637	-0.011971409	-0.8694394	2.1221302	0.015466561	0.1574074	14.0	41.94935894012451
9	6.766467	8.477476	38.0	-1.0	23.51497	0.6416032	0.0	0.6416032	0.6416032	40000	2.7318796e-08	75.24621	-0.026052495	-0.9965617	2.088588	0.01082294	0.1036036	79.0	47.031830072402954
