Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.8881356	3.5735888	20.0	-1.0	13.413559	-0.3781117	0.007082853	-0.35668722	-0.42469308	4000	3.228585e-08	11.39873	-0.031674016	-2.7892697	2.2855785	0.015589252	0.16766767	62.0	43.47309422492981
1	2.469697	4.8771877	35.0	-1.0	14.920455	1.0256993	0.71752864	3.224241	-0.58301085	8000	2.4214387e-08	17.447458	-0.009211558	-2.2671013	2.2790716	0.015090041	0.19144146	6.0	70.13777208328247
2	2.4980392	4.0174856	18.0	-1.0	15.478432	1.6460947	1.6854042	11.079263	-1.3942137	12000	1.086543e-08	11.497731	-0.045033947	-1.8721409	2.255648	0.01624552	0.23523526	72.0	116.56027102470398
3	3.6478262	5.7832117	38.0	-1.0	17.134783	1.5583438	1.0687462	6.364352	-1.0874344	16000	-3.7252903e-09	23.406397	-0.0014222706	-4.191534	2.2276802	0.015276351	0.1584084	2.0	141.8613350391388
4	4.0135746	5.6074286	40.0	-1.0	17.719458	2.1099954	1.6184529	10.432965	-0.85865843	20000	-7.450581e-09	24.223366	-0.03894992	-4.772145	2.2212946	0.015461209	0.26451454	41.0	179.07396030426025
5	4.959596	7.508136	48.0	-1.0	19.712122	1.9235238	1.467121	11.341201	-0.17468864	24000	-1.6142925e-08	39.845875	-0.024983153	-12.292529	2.1802611	0.01863295	0.21696697	17.0	208.96559405326843
6	5.2894735	6.719602	32.0	-1.0	20.547369	2.8925054	2.4049387	24.80669	-0.20905131	28000	2.483527e-09	27.019678	-0.030538887	-6.6792846	2.1440566	0.015446785	0.22597598	22.0	240.4019811153412
7	5.5326085	7.139832	43.0	-1.0	21.39674	3.6249251	2.4986272	18.00999	-0.14744973	32000	-9.934108e-09	31.413366	0.008186594	-0.9485814	2.1031764	0.032217648	0.39189187	1.0	265.39584732055664
8	5.8324323	7.831263	49.0	-1.0	21.194595	3.1461322	2.1128786	12.198476	-0.14217125	36000	1.2417635e-09	40.15823	0.00971459	-6.6106534	2.0968418	0.021928975	0.33633628	1.0	290.5502760410309
9	5.25	7.581109	45.0	-1.0	20.086735	4.0068445	2.2089877	12.5020895	-0.25761914	40000	-1.2417634e-08	35.57932	0.0011652434	-4.723165	2.0614164	0.017763315	0.3108108	2.0	315.949520111084
10	5.6363635	7.5463886	48.0	-1.0	20.967915	2.9809778	1.722604	8.835943	-0.1399969	44000	-4.967054e-09	36.58034	0.0094421115	-11.643102	2.0031118	0.024180187	0.31206205	1.0	341.0351302623749
11	7.04321	9.107282	48.0	-1.0	23.71605	3.7730331	2.8039546	21.018713	-0.1382596	48000	2.483527e-09	55.946117	0.005087429	-25.836573	1.9805573	0.016814196	0.17117117	1.0	366.11921405792236
12	7.2608695	8.36179	40.0	-1.0	24.248447	4.676764	3.2733412	26.787762	-0.15323776	52000	-4.967054e-09	44.486664	0.0031999366	-24.763418	1.9534782	0.020913413	0.29129127	1.0	391.22079205513
13	6.1918607	8.0552845	40.0	-1.0	22.67442	4.736077	4.1193047	35.403946	-0.1513555	56000	-1.5522043e-09	52.840427	0.009466086	-26.712923	1.9097999	0.020273514	0.30130133	1.0	416.27050590515137
14	7.161491	8.489599	47.0	-1.0	24.068323	4.617248	3.4651394	41.959568	-0.1332761	60000	-8.692344e-09	47.207935	0.002371521	-27.033487	1.8822508	0.016202882	0.1478979	3.0	441.9966711997986
15	7.202454	9.041255	53.0	-1.0	24.092024	4.1961474	3.7050843	35.38134	-0.14279732	64000	-4.967054e-09	54.81152	-0.040102474	-3.2694216	1.8289274	0.01736427	0.22747748	35.0	477.2725429534912
16	7.8037972	9.12741	40.0	-1.0	24.949368	4.7233405	3.3154044	12.418836	-0.12439172	68000	-1.4901161e-08	48.391346	-0.06111444	-11.057025	1.805895	0.015634587	0.2745245	79.0	525.8332600593567
17	9.160839	11.532047	61.0	-1.0	27.363636	5.134055	2.6181693	16.237352	-0.08900943	72000	-1.2417635e-09	73.28458	0.00926504	-41.760395	1.7403883	0.015172842	0.2887888	1.0	550.9194962978363
18	10.240602	11.674888	63.0	-1.0	29.481203	7.3021665	5.9498453	54.619102	-0.07375306	76000	1.2417634e-08	103.59629	0.014068142	-56.013103	1.7455035	0.029457396	0.33808812	1.0	576.0121910572052
19	9.847222	12.371742	62.0	-1.0	27.402779	7.13211	5.731832	55.42048	-0.06514033	80000	1.2417634e-08	104.624756	-0.00043411925	-79.79777	1.7167331	0.016795427	0.25425425	3.0	601.7403981685638
20	11.133859	13.384303	67.0	-1.0	30.771654	6.081956	6.035278	60.17446	-0.057962064	84000	4.967054e-09	149.8393	0.006946908	-96.127014	1.7333847	0.025366455	0.26876876	1.0	627.0395200252533
21	8.950355	9.960437	46.0	-1.0	27.67376	7.820029	5.686629	57.351456	-0.07079149	88000	4.967054e-09	89.02182	-0.0052420944	-43.967876	1.752552	0.017074615	0.24624626	6.0	653.5951290130615
22	9.379562	9.742773	50.0	-1.0	28.394161	5.9771686	3.4809842	29.956041	0.0010128319	92000	1.4901161e-08	58.298298	-0.025118284	-25.768896	1.7442627	0.015079431	0.15065064	17.0	683.4385280609131
