Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.4688644	4.219259	26.0	-1.0	14.340659	0.076754235	0.0071374713	0.12206307	0.05070764	4000	-4.967054e-09	16.11128	-0.0063485266	-1.7570319	2.2815964	0.0068839802	0.016266266	79.0	2.1834638118743896
1	2.1571429	4.496461	28.0	-1.0	14.089286	1.1940348	0.36713222	2.251736	0.6144263	8000	1.8626451e-09	15.324824	-0.009525459	-1.0016788	2.2765343	0.006298926	0.06156156	79.0	4.393752813339233
2	2.628788	4.3916335	27.0	-1.0	14.973485	1.5479186	0.35885248	2.1686108	0.47285563	12000	5.5879354e-09	13.800271	-0.013199908	-0.32454205	2.2619882	0.0058100387	0.06481481	79.0	6.605337858200073
3	2.7065637	5.319048	31.0	-1.0	15.324325	1.7440946	0.60487384	3.0585213	0.14770035	16000	-1.2417635e-09	21.31456	-0.015122975	-0.4816467	2.2439737	0.008224814	0.083333336	79.0	8.81087589263916
4	3.1416667	5.2126384	36.0	-1.0	16.383333	2.0364847	0.81538635	4.6508756	-0.8406957	20000	-4.967054e-09	20.021698	-0.014469132	-0.36084223	2.2224858	0.005197042	0.082582586	79.0	11.011789083480835
5	3.604348	5.829086	31.0	-1.0	17.104347	2.2167196	1.020519	4.9666877	-1.2295417	24000	0.0	21.872269	-0.0159502	-0.6651313	2.1851022	0.009140311	0.11711713	79.0	13.213083744049072
6	4.0324073	5.7754164	40.0	-1.0	18.296297	2.3834226	1.1655217	5.363781	-1.787395	28000	-1.4901161e-08	21.608644	-0.014983763	-0.9885357	2.1530178	0.0104863895	0.09634634	79.0	15.419687986373901
7	4.818182	6.139561	29.0	-1.0	20.025253	2.4997563	1.4330493	7.075788	-3.1622434	32000	9.934108e-09	23.070297	-0.015182185	-1.195	2.096597	0.007149936	0.11186186	79.0	17.623734951019287
8	4.9333334	6.9747286	45.0	-1.0	20.076923	3.0511322	1.5945745	6.947619	-2.8056479	36000	9.934108e-09	31.844835	-0.016048254	-1.3060824	2.0554006	0.010048286	0.08058058	79.0	19.866665840148926
9	6.5321636	8.988158	56.0	-1.0	22.894737	3.3110528	1.8126956	7.470049	-4.079654	40000	0.0	52.40066	-0.012474873	-3.5449505	2.017834	0.0050335745	0.07632632	79.0	22.075215816497803
