Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.9003437	3.8583646	19.0	-1.0	13.61512	0.10188619	0.03172268	0.19172302	0.05535704	4000	4.967054e-09	7.665049	-0.008476317	-0.97946197	2.2876961	0.015176804	0.0492993	59.0	10.182967901229858
1	2.143885	3.7714589	16.0	-1.0	14.147482	1.0805066	0.22976734	1.4490709	0.52160865	8000	-9.934108e-09	6.329633	-0.015383832	-0.34444273	2.2781267	0.0133755775	0.10885886	79.0	21.92446208000183
2	2.25	4.29988	26.0	-1.0	14.470589	1.1522609	0.5896901	3.3224745	-0.0067302287	12000	7.450581e-09	7.4624267	-0.016302088	-0.21896593	2.2612536	0.0058376626	0.0965966	79.0	33.6806218624115
3	3.041494	5.4580956	32.0	-1.0	16.394192	1.2539512	0.7599979	3.7895699	-0.980755	16000	-7.450581e-09	9.272297	-0.021407872	-0.38906708	2.2406788	0.012730616	0.1609109	79.0	45.05397176742554
4	4.35545	6.1398945	40.0	-1.0	18.559242	1.5826644	0.99423474	4.735191	-1.291411	20000	4.967054e-09	10.821895	-0.024453968	-0.65514606	2.2263033	0.010274569	0.1684184	79.0	56.298011779785156
5	4.844221	7.207677	47.0	-1.0	19.643215	2.0817552	1.095214	5.8225856	-1.8938051	24000	0.0	13.707944	-0.023611343	-0.5693984	2.1916573	0.008142914	0.1393894	79.0	67.27591705322266
6	6.9030304	9.604434	65.0	-1.0	23.721212	2.4450626	1.1844883	6.296731	-1.7667928	28000	1.4901161e-08	17.641087	-0.018753743	-1.0973169	2.1542118	0.0093290545	0.1036036	79.0	78.52568078041077
7	7.0125	9.767924	49.0	-1.0	24.25	3.2035823	1.38109	7.4779024	-2.3540688	32000	0.0	15.888153	-0.020298606	-0.59221935	2.116866	0.0068487753	0.12737738	79.0	90.14620208740234
8	7.701987	9.0873575	46.0	-1.0	25.324503	3.2759922	1.5625268	7.5171585	-2.6126423	36000	-2.2351742e-08	15.631343	-0.021171035	-0.61924076	2.0542912	0.008445919	0.11961963	79.0	101.88589310646057
9	8.5034485	11.242851	64.0	-1.0	26.565517	3.4215748	1.6049504	7.2294407	-2.2807443	40000	-1.3038516e-08	19.680683	-0.020856619	-1.0378673	2.004851	0.009245894	0.10585585	79.0	114.7164888381958
10	7.9324327	9.441614	50.0	-1.0	25.871622	3.8450086	1.804634	8.003593	-3.2427416	44000	-1.6142925e-08	16.684027	-0.02314227	-0.85018635	1.9770088	0.01315054	0.13413413	79.0	127.10433673858643
11	10.753968	12.118914	65.0	-1.0	30.920635	3.5943105	1.6625949	6.993176	-2.3116412	48000	1.7384687e-08	19.40467	-0.020395162	-1.464945	1.9442439	0.007883762	0.13413414	79.0	139.1511857509613
12	13.754386	16.484741	74.0	-1.0	34.298244	4.441197	1.654622	8.722136	-2.344924	52000	-1.4901161e-08	24.716042	-0.025128663	-1.980567	1.9118181	0.00918148	0.14614613	79.0	150.74578499794006
13	13.084112	13.017688	63.0	-1.0	34.635513	5.557542	2.0038595	9.811427	-2.8968484	56000	0.0	20.827827	-0.02068226	-0.93683785	1.8628029	0.008573922	0.11511511	79.0	162.07895278930664
14	15.25	16.862423	68.0	-1.0	36.634617	5.202479	1.9083052	8.609548	-2.9419525	60000	-2.4835268e-08	22.569605	-0.02383998	-1.3250713	1.847735	0.009257083	0.12512513	79.0	174.18073177337646
15	17.641304	16.574982	66.0	-1.0	41.510868	5.894192	2.026393	10.115219	-3.1195602	64000	-4.967054e-09	21.523438	-0.021953756	-1.0250959	1.7685065	0.00820957	0.12212213	79.0	187.57922983169556
16	20.88889	17.587875	68.0	0.0	46.839508	6.245317	1.8231978	10.30008	-2.1017253	68000	2.483527e-09	21.580046	-0.023535272	-1.4218149	1.7388602	0.011140403	0.109359354	79.0	200.46556997299194
17	18.744444	18.052738	73.0	-1.0	42.577778	6.5522585	1.9175833	10.583039	-1.8041935	72000	2.483527e-09	22.129229	-0.024550682	-1.2174045	1.6846428	0.013425671	0.1544044	79.0	212.64442896842957
18	23.64	20.2245	70.0	-1.0	51.013332	6.6147985	1.8302804	9.622524	-3.3470337	76000	9.934108e-09	20.67978	-0.022572912	-1.2447184	1.6691948	0.01151336	0.13013013	79.0	224.10796093940735
19	26.352942	20.533161	69.0	-1.0	55.735294	7.3196707	1.934625	11.053861	-2.7776275	80000	8.692344e-09	19.580961	-0.021956675	-1.3704634	1.628342	0.011432623	0.13313313	79.0	235.69826889038086
20	26.952381	21.788616	66.0	-1.0	57.26984	7.7486186	2.0032506	11.668967	-3.4493902	84000	0.0	19.132893	-0.023011878	-1.2040473	1.5847746	0.0090628145	0.11961963	79.0	246.73882579803467
21	28.984127	21.206837	72.0	-1.0	60.460316	7.989792	1.8179721	11.569431	-2.9348342	88000	-1.8626451e-08	19.893764	-0.022686498	-1.9168135	1.5417796	0.013789725	0.118368365	79.0	257.57817101478577
22	29.816668	21.024187	68.0	-1.0	61.15	8.106858	1.8429506	12.381216	-3.7370076	92000	-3.7252903e-09	16.91583	-0.020251218	-2.041071	1.5261282	0.007956225	0.11311311	79.0	268.6576769351959
23	31.266666	19.532764	70.0	-1.0	62.9	8.346401	2.3036277	12.853091	-4.7384386	96000	-2.4835268e-08	19.85696	-0.024619035	-2.761731	1.4751009	0.0066805966	0.11911913	79.0	279.6674509048462
24	33.63158	21.935017	67.0	-1.0	66.03509	8.369588	1.8896198	12.4819975	-7.1979585	100000	-9.934108e-09	18.880991	-0.02275037	-2.2801254	1.455851	0.010475048	0.11086086	79.0	291.1954438686371
25	35.407406	20.102993	67.0	-1.0	69.72222	8.979839	1.6574404	12.340124	-2.9211	104000	-1.8626451e-08	16.46381	-0.020218411	-1.6287966	1.4299604	0.012891792	0.11061061	79.0	302.43391394615173
