Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.6565657	3.5204883	19.0	-1.0	13.252525	0.02811029	0.016522743	0.087821305	-0.033732675	4000	-1.4901161e-08	4.1990166	-0.005097288	-0.26493442	2.284728	0.0042912043	0.0	79.0	1.8189339637756348
1	2.1514084	4.438345	28.0	-1.0	13.890845	0.4396987	0.15947299	0.89389044	0.1947578	8000	2.483527e-09	5.0991883	-0.0062303417	-0.33826947	2.2838686	0.00604203	0.004004004	79.0	3.603175163269043
2	2.091228	4.428626	23.0	-1.0	13.85614	0.87783664	0.086773954	1.1421229	0.71913385	12000	-1.831601e-08	4.9098773	-0.006160974	-0.1263309	2.2823246	0.0070415144	0.018268267	79.0	5.390827894210815
3	1.9496403	4.1713715	25.0	-1.0	14.129497	0.9412779	0.17902339	1.2941993	0.44751662	16000	1.3038516e-08	4.402015	-0.0080104815	-0.13220055	2.2706683	0.0039693485	0.041541543	79.0	7.174274921417236
4	2.0	3.950963	23.0	-1.0	14.259928	0.91470706	0.3498001	1.8971066	0.024021298	20000	1.2417634e-08	3.8505695	-0.01175458	-0.054024696	2.2498274	0.010395409	0.060810816	79.0	8.984458923339844
5	2.3843284	4.196398	19.0	-1.0	14.723881	0.8892656	0.36393678	1.9440804	-0.116648845	24000	4.967054e-09	4.4624295	-0.009346106	-0.072076716	2.231584	0.0050542587	0.035035037	79.0	10.761337995529175
6	2.678161	5.0175805	34.0	-1.0	15.195402	1.003468	0.43493232	2.3957734	-0.45904508	28000	-1.7384687e-08	5.2603207	-0.014606255	-0.09471353	2.2186058	0.008869097	0.078078076	79.0	12.566866159439087
7	2.6975806	4.556243	27.0	-1.0	15.951612	1.1459354	0.4497729	2.749173	-0.36969396	32000	1.2417634e-08	4.4984565	-0.013256672	-0.1607558	2.1894727	0.005094725	0.066316314	79.0	14.357158184051514
8	4.8640776	7.4397883	40.0	-1.0	19.009708	1.0762804	0.640874	3.4650161	-0.906702	36000	-1.8626451e-09	8.566142	-0.011867832	-0.71185327	2.173414	0.004349673	0.056556556	79.0	16.140043020248413
9	3.5248868	4.8902493	25.0	-1.0	17.855204	1.79781	0.5925899	3.7017658	-0.4371889	40000	4.967054e-09	4.510969	-0.0146430405	-0.3182619	2.1399286	0.007817544	0.071571566	79.0	17.934005975723267
