Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.2518249	4.000741	28.0	-1.0	14.29562	0.1736676	0.002264763	0.17997022	0.16594644	4000	8.692344e-09	5.0577416	-0.00082424557	-0.7908418	2.2918086	0.00017279958	0.0	79.0	8.61000394821167
1	2.4249084	4.906716	34.0	-1.0	14.421246	1.0195915	0.29640877	1.4416898	0.24841979	8000	1.4901161e-08	5.1781964	-0.0016972041	-0.37570503	2.2904553	0.0010476472	0.0	79.0	17.263172149658203
2	2.1859648	4.9697843	27.0	-1.0	13.898246	1.0494765	0.7369604	3.4697938	-1.143058	12000	0.0	5.57618	-0.0009094087	-0.33619007	2.2911916	0.00052519486	0.0	79.0	26.601404905319214
3	1.6894197	3.8719862	25.0	-1.0	13.47099	0.8633996	0.6305006	5.8130336	-1.1756828	16000	-1.2417635e-09	4.037538	-0.00068484835	-0.13965702	2.2909036	0.0012289943	0.0	79.0	35.54107999801636
4	1.6735395	3.7736592	22.0	-1.0	13.56701	0.74037546	0.49356234	2.8060188	-1.0578301	20000	-6.208817e-09	3.3601005	-0.0014247717	-0.08151438	2.2904067	0.0005004592	0.0	79.0	44.7816948890686
5	2.2222223	4.1262436	25.0	-1.0	14.200717	0.7444066	0.58489805	2.9988847	-1.9519984	24000	8.692344e-09	4.018924	-0.002064685	-0.21358919	2.2919774	0.001512142	0.0	79.0	53.819950103759766
6	2.2473118	4.262	25.0	-1.0	14.189964	0.93555576	0.7181145	3.1141803	-1.4065458	28000	-7.450581e-09	4.2112684	-0.0015137283	-0.21789765	2.2904274	0.0004448659	0.0	79.0	63.00607109069824
7	1.8013937	3.8939245	24.0	-1.0	13.770035	0.879996	0.822697	3.4667609	-1.3514496	32000	-5.5879354e-09	3.4990938	-0.0010328867	-0.19362764	2.2904832	-1.3191496e-05	0.0	79.0	72.60162615776062
8	2.0283687	3.921107	26.0	-1.0	14.039007	0.7811476	0.7090059	2.7228389	-1.7263566	36000	-4.656613e-09	3.4536808	-0.0008591148	-0.16435187	2.290526	0.000255016	0.0	79.0	81.84796595573425
9	2.1743772	4.2226534	20.0	-1.0	13.975089	0.7962662	0.7044889	2.6888335	-1.1774218	40000	0.0	4.6572223	-0.0011544186	-0.2665383	2.2902627	0.00062347186	0.0	79.0	91.59496998786926
10	2.3383458	4.374202	28.0	-1.0	14.796992	0.9843428	0.7769	3.3923795	-1.7271379	44000	0.0	4.1341453	-0.0012144968	-0.37345743	2.2896965	0.00014957653	0.0	79.0	100.83848690986633
11	2.0647483	3.8547523	21.0	-1.0	14.1690645	0.9467793	0.7737584	4.6594	-1.6367902	48000	-2.483527e-09	3.652705	-0.0010054011	-0.27522942	2.2882502	0.00048809205	0.0	79.0	109.88450980186462
12	2.1906474	4.31698	22.0	-1.0	14.230216	0.9113034	0.80414605	4.1728816	-1.7132215	52000	-4.967054e-09	4.2617893	-0.0015610129	-0.4129108	2.2866402	0.0007033359	0.0	79.0	119.21875286102295
13	2.1392858	4.215434	24.0	-1.0	14.1	0.94403136	0.8026399	4.4038734	-1.7149578	56000	2.483527e-09	4.3639627	-0.0019087227	-0.3712845	2.2838094	0.00038099	0.0	79.0	128.56217503547668
14	2.4666667	4.4552093	29.0	-1.0	14.62963	0.93345517	0.805426	4.204902	-1.645457	60000	-3.7252903e-09	4.2386584	-0.001453061	-0.3654205	2.2805722	0.00084901525	0.0	79.0	138.3182189464569
15	1.3980263	3.2326658	20.0	-1.0	13.023026	1.0390366	0.8693315	4.2234087	-1.6926507	64000	7.450581e-09	3.0108082	-0.0021390996	-0.4463013	2.278332	0.0005282382	0.0	79.0	147.30568599700928
16	2.1935484	4.1441536	24.0	-1.0	14.164874	0.57953084	0.70371	3.2270918	-1.4318994	68000	-1.4901161e-08	4.0803933	-0.00033737408	-0.34738818	2.2736163	0.0004281969	0.0	79.0	156.51186203956604
17	2.5298507	5.0868435	35.0	-1.0	14.776119	0.8845343	0.7642773	3.0944142	-1.4505751	72000	7.761021e-10	5.20699	-0.00041915468	-0.43778	2.2723675	0.00022351624	0.0	79.0	165.728364944458
18	2.2036364	4.1123304	22.0	-1.0	14.330909	1.240945	0.8986624	4.9839144	-1.5595893	76000	-1.8626451e-08	4.003635	-0.0010318555	-0.49194363	2.269922	0.0005489076	0.0	79.0	174.95441794395447
19	2.2007298	4.1363444	28.0	-1.0	14.306569	0.9299588	0.7827476	4.1651845	-1.423052	80000	3.7252903e-09	4.039919	-0.0007219025	-0.3291529	2.268643	-7.650485e-05	0.0	79.0	183.94289994239807
20	2.2014651	4.544416	30.0	-1.0	14.531136	0.90103155	0.81854194	5.6653094	-1.3926458	84000	6.208817e-09	4.2814603	-0.000589588	-0.31834915	2.2659667	0.00027218103	0.0	79.0	192.75165104866028
21	2.460076	4.366016	20.0	-1.0	14.88213	0.95429856	0.77136433	4.735868	-1.3958894	88000	2.483527e-09	4.768573	-0.0011752829	-0.42149353	2.2642632	6.278192e-05	0.0	79.0	201.8242838382721
22	2.291513	4.136941	33.0	-1.0	14.586716	1.0133046	0.81205463	5.137185	-1.3095183	92000	0.0	4.07307	-0.0013244482	-0.4889221	2.2624135	-0.00025053255	0.0	79.0	210.85782980918884
23	2.358209	3.9651523	29.0	-1.0	14.768657	0.9572228	0.8221441	5.065548	-2.0117888	96000	4.967054e-09	3.517397	-0.001764783	-0.35075986	2.2582831	0.0008447543	0.0	79.0	220.29768800735474
24	2.3992395	4.494644	27.0	-1.0	14.86692	1.0720603	0.85907626	4.547672	-1.6016569	100000	0.0	4.1487823	-0.0009272595	-0.4982853	2.2525544	0.00020432014	0.0	79.0	229.60941314697266
25	2.4	4.609491	41.0	-1.0	14.611111	0.8111547	0.8420493	4.396866	-1.982875	104000	3.7252903e-09	4.458567	-0.00015333325	-0.5618925	2.2511675	-6.0292983e-05	0.0	79.0	238.5190498828888
26	2.2773724	4.1385317	27.0	-1.0	14.408759	1.0082204	0.8489258	5.5608993	-1.5648485	108000	-1.8626451e-08	3.8524601	-0.00077682984	-0.4116299	2.2502654	0.000219111	0.0	79.0	247.67848086357117
27	2.3609023	4.2512064	22.0	-1.0	14.706767	0.9448269	0.84730935	4.1874743	-1.6071066	112000	-1.2417635e-09	4.396956	-0.001358211	-0.40504435	2.2465599	0.0006942523	0.0	79.0	256.6488130092621
28	2.1970804	4.075634	23.0	-1.0	14.405109	1.008845	0.87165076	5.912686	-1.708837	116000	2.483527e-09	4.2751327	-0.0006224169	-0.35845983	2.2412643	-0.0002784097	0.0	79.0	265.7524199485779
29	2.964706	4.8339815	21.0	-1.0	15.482353	0.9117124	0.8023268	4.6134906	-1.54069	120000	-1.2417634e-08	5.1033893	-0.001267345	-0.41019726	2.2379682	0.00042507317	0.0	79.0	275.1101040840149
