Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.3082438	4.3277426	26.0	-1.0	14.207886	-0.052013975	0.19134264	0.7494858	-0.8851989	4000	-3.7252903e-09	9.4173155	-0.03015782	-1.4680285	2.281615	0.007892893	0.055055056	79.0	0.30842113494873047
1	1.9755244	3.9581854	20.0	-1.0	13.769231	0.78066397	0.25385362	1.6020523	-0.07774235	8000	1.5211603e-08	7.2074437	-0.030573184	-0.32104555	2.2785723	0.010211793	0.0472973	79.0	0.5945019721984863
2	2.040293	3.9347038	25.0	-1.0	14.48718	0.94918257	0.29277343	1.8358716	-0.28017753	12000	1.4901161e-08	6.4187546	-0.030345157	-0.291888	2.2727041	0.01078245	0.0543043	79.0	0.8955790996551514
3	2.5192308	4.9880257	42.0	-1.0	15.084616	0.9732823	0.39122108	1.8883775	-1.1221192	16000	-1.2417635e-09	10.047082	-0.02777795	-0.4581186	2.264384	0.005012672	0.038288288	79.0	1.176483154296875
4	3.2033195	5.69379	44.0	-1.0	16.365145	1.2808567	0.4619514	2.390053	-1.2238252	20000	0.0	11.079251	-0.029291892	-0.57650656	2.2576733	0.0055629387	0.05405405	79.0	1.4864380359649658
5	3.164609	4.8970537	25.0	-1.0	16.28395	1.6204236	0.57879376	2.8179455	-1.2747312	24000	-1.4901161e-08	9.10834	-0.029739266	-0.2892313	2.2482631	0.011001032	0.065815814	79.0	1.7991890907287598
6	3.678414	6.271228	35.0	-1.0	17.268723	1.5339328	0.63729066	2.7552228	-2.0530753	28000	-1.4901161e-08	12.112122	-0.02819705	-0.40408254	2.241969	0.008581762	0.0528028	79.0	2.109999179840088
7	3.6875	5.618101	22.0	-1.0	17.75	1.8993316	0.67160165	3.4818897	-1.5091642	32000	-1.9868216e-08	9.924423	-0.029346833	-0.20525885	2.2302487	0.0070658117	0.045295298	79.0	2.4267783164978027
8	3.5336323	4.733005	22.0	-1.0	17.565022	1.869284	0.7283682	3.4770014	-1.9743586	36000	-1.2417635e-09	8.606635	-0.028526058	-0.28757444	2.2226613	0.005876942	0.058058064	79.0	2.7913811206817627
9	3.3377192	5.1191916	30.0	-1.0	17.368422	1.6445026	0.79250365	3.1659362	-1.7287382	40000	-1.7384687e-08	8.796169	-0.027467325	-0.29181734	2.2088296	0.009089283	0.06356356	79.0	3.1266629695892334
10	4.17757	7.009757	43.0	-1.0	18.5	1.6266623	0.8219773	2.9271927	-2.2605252	44000	1.4901161e-08	13.349803	-0.026681766	-0.56362706	2.1952326	0.0079735825	0.058058057	79.0	3.442845106124878
11	4.507317	6.613821	39.0	-1.0	19.04878	2.0787737	0.796537	3.4080188	-1.6310115	48000	-9.934108e-09	13.048556	-0.028841212	-0.38033184	2.1848824	0.006361999	0.035035037	79.0	3.7619271278381348
12	4.2955666	5.9465046	31.0	-1.0	19.280788	2.2805445	0.87774414	3.8516252	-1.875076	52000	-2.483527e-09	10.4034395	-0.028475486	-0.28144494	2.1797295	0.00502445	0.042542543	79.0	4.11934494972229
13	5.604278	7.9006925	47.0	-1.0	20.882353	2.0275962	0.93712676	3.6817884	-2.4503894	56000	-4.967054e-09	17.0256	-0.027173096	-1.054674	2.1745045	0.010021393	0.066066064	79.0	4.4376771450042725
14	5.042105	7.4415846	44.0	-1.0	20.542105	2.7309961	0.8596706	4.365951	-1.1631018	60000	-1.4901161e-08	14.146076	-0.029080331	-0.36983886	2.1759555	0.007911679	0.060310308	79.0	4.8837890625
15	4.612245	5.6072707	21.0	-1.0	19.852041	2.4202175	0.96158546	4.2286506	-2.023623	64000	-3.1044085e-09	10.587251	-0.026347525	-0.4655927	2.159781	0.005822709	0.035535537	79.0	5.332278251647949
16	5.26943	6.907977	32.0	-1.0	20.284973	2.213715	0.98556566	4.0439587	-2.0932865	68000	-2.483527e-09	14.185505	-0.029713	-0.5898142	2.153248	0.0051249	0.06456457	79.0	5.706453084945679
17	5.0564103	7.4325614	48.0	-1.0	20.333334	2.4704626	0.93874043	4.2950516	-2.574995	72000	8.692344e-09	13.082526	-0.02787502	-0.3250618	2.14094	0.008699227	0.056556556	79.0	6.073275089263916
18	5.451087	8.0991	69.0	-1.0	21.173914	2.4522798	0.97698987	4.076707	-2.2888258	76000	0.0	15.853649	-0.029132811	-0.63245296	2.1347218	0.010164404	0.0497998	79.0	6.500675201416016
19	5.142857	6.4023566	31.0	-1.0	20.820107	2.700147	0.9156598	4.3372746	-1.8315883	80000	1.4901161e-08	11.677615	-0.025048168	-0.40966073	2.124823	0.0073141945	0.044044044	79.0	6.883592128753662
20	6.2616277	9.001689	42.0	-1.0	22.63372	2.360063	0.9638393	3.8998058	-2.8446374	84000	4.967054e-09	17.156288	-0.02733626	-0.9467537	2.117799	0.0072868676	0.073323324	79.0	7.2124292850494385
21	6.5260115	8.668971	52.0	-1.0	22.84971	3.0686252	0.91688085	4.8677483	-1.3560708	88000	1.4901161e-08	16.419626	-0.027675444	-0.42650637	2.110112	0.0063504376	0.04154154	79.0	7.652734041213989
22	5.755682	7.112128	33.0	-1.0	22.414772	2.9873786	0.9844999	4.567428	-1.3128752	92000	-9.934108e-09	12.428094	-0.02688127	-0.5438423	2.0958576	0.003490732	0.053803805	79.0	8.008240222930908
23	6.047059	7.3226576	33.0	-1.0	22.694118	2.5887554	1.1046402	4.397513	-2.2992718	96000	-6.208817e-09	13.467944	-0.025528587	-0.40810284	2.0885785	0.0018134457	0.057557557	79.0	8.355144023895264
24	6.612121	8.980509	47.0	-1.0	23.757576	2.8153255	1.021355	4.336566	-1.427798	100000	-4.967054e-09	16.3766	-0.023936115	-0.60973376	2.0715463	0.0063851196	0.04704705	79.0	8.694059133529663
25	6.2485547	8.288272	49.0	-1.0	22.595375	3.072762	1.0427986	4.6971207	-1.7109945	104000	7.450581e-09	15.939267	-0.02563016	-0.5914338	2.065822	0.007327302	0.061811816	79.0	9.021538257598877
26	5.6553674	8.046467	45.0	-1.0	22.067797	3.0065114	1.0094717	4.7220545	-2.129166	108000	-1.1175871e-08	14.56337	-0.026376462	-0.45602623	2.064319	0.007897635	0.0503003	79.0	9.354022979736328
27	6.356725	7.655308	32.0	-1.0	23.081871	2.6385467	1.0565401	4.4057093	-1.9135053	112000	1.5522043e-09	14.044021	-0.025743311	-0.438265	2.04998	0.0069746464	0.045795795	79.0	9.765996217727661
28	6.4450865	8.176778	38.0	-1.0	22.82659	2.8286803	0.9874905	4.4250627	-1.2533929	116000	-9.934108e-09	15.596248	-0.027017498	-0.43272987	2.0600755	0.006573437	0.034784783	79.0	10.149730205535889
29	5.825843	7.0962887	30.0	-1.0	22.235954	2.9175758	0.98473847	4.675582	-1.3094312	120000	0.0	12.721352	-0.0276775	-0.39420033	2.0427887	0.008679968	0.059309307	79.0	10.494204998016357
