Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.9238755	3.76853	24.0	-1.0	13.615917	-0.15072559	0.035385933	-0.010664597	-0.29828233	4000	-6.208817e-09	8.088735	-0.017170014	-1.6827168	2.2869089	0.0027513455	0.023273274	79.0	0.45279788970947266
1	2.4542124	4.7415543	35.0	-1.0	14.51282	1.0172137	0.28617585	1.9257425	-0.023645796	8000	-9.934108e-09	9.696563	-0.025918627	-1.1392866	2.2892015	0.009549075	0.09034034	79.0	0.8704788684844971
2	2.1872792	4.100795	24.0	-1.0	14.042403	1.2909461	0.9517488	3.9801621	-1.8671656	12000	-4.967054e-09	7.194963	-0.033404212	-1.066187	2.273305	0.008480816	0.1016016	79.0	1.2884018421173096
3	2.8007967	4.269805	20.0	-1.0	15.7330675	1.07679	0.9374326	3.2705135	-2.347934	16000	9.934108e-09	6.9258094	-0.03751729	-1.2833285	2.2681391	0.011282999	0.16291292	79.0	1.7581310272216797
4	3.5474138	6.1305757	34.0	-1.0	16.98276	1.1827034	1.1485832	5.192726	-2.6543453	20000	3.7252903e-09	13.389801	-0.041149218	-3.3009396	2.2412035	0.015046839	0.18293293	73.0	2.2187039852142334
5	3.7511313	5.8376656	30.0	-1.0	17.723982	1.9828811	1.3400468	6.0432167	-3.1598964	24000	-7.450581e-09	12.031232	-0.042314187	-3.5490987	2.2173288	0.015021819	0.18168168	78.0	2.682046890258789
6	4.230769	7.0863233	43.0	-1.0	18.908653	1.7873005	1.4862827	6.7322664	-4.4857926	28000	0.0	15.186592	-0.03632288	-4.5644336	2.1999254	0.015098389	0.1559059	56.0	3.1081957817077637
7	6.273743	8.942893	65.0	-1.0	21.82123	2.3649778	1.6642381	8.237199	-5.1938424	32000	-1.1175871e-08	20.654877	-0.04652089	-7.2789307	2.165037	0.014354623	0.18593593	79.0	3.573485851287842
8	5.668508	7.2272162	39.0	-1.0	21.370165	3.0614107	1.815362	10.237471	-4.039758	36000	2.483527e-09	17.474089	-0.030983234	-5.4835453	2.1398351	0.015190148	0.1368869	35.0	3.966784715652466
9	6.906832	8.2566	39.0	-1.0	23.490683	2.7261114	1.7467808	9.634943	-4.7191663	40000	5.5879354e-09	18.762403	-0.033644598	-5.8964477	2.109255	0.015029569	0.1453954	41.0	4.364714860916138
10	5.4130435	7.925128	52.0	-1.0	21.434782	3.2407534	1.8358958	12.170652	-5.3386807	44000	8.692344e-09	17.07601	-0.035874974	-5.5966506	2.0822086	0.015090282	0.18393393	48.0	4.790059804916382
11	5.581921	7.720785	53.0	-1.0	21.723164	2.4898107	1.6507902	9.816979	-2.8759928	48000	2.483527e-09	17.432707	-0.044851948	-5.0932193	2.0601218	0.006325104	0.1961962	79.0	5.2513978481292725
12	6.2411766	7.764592	42.0	-1.0	23.241177	2.6637943	1.7752748	9.233669	-4.3940997	52000	6.9849193e-10	16.072557	-0.04171248	-5.600605	2.032234	0.015008971	0.17642643	73.0	5.707254886627197
13	7.702532	8.8607435	42.0	-1.0	24.56962	2.8301294	1.7622117	9.025689	-3.5953875	56000	-3.8805106e-09	18.827557	-0.039733723	-5.778107	2.0281317	0.015008186	0.17867868	64.0	6.149384021759033
14	8.417809	10.451949	57.0	-1.0	26.726027	3.4500742	1.932916	10.736287	-3.4390423	60000	2.1109978e-08	19.260443	-0.035522163	-5.245804	1.9943336	0.0150728645	0.15315315	52.0	6.565021991729736
15	7.6578946	9.206052	45.0	-1.0	25.526316	3.613279	1.9930393	10.238649	-2.9869828	64000	-1.2417634e-08	17.724054	-0.041047134	-5.146791	1.9685155	0.011424396	0.1921922	79.0	7.0253729820251465
16	8.072847	10.505186	59.0	-1.0	26.0	3.4911895	2.049766	10.920826	-4.8546004	68000	9.934108e-09	18.49016	-0.039537486	-5.718266	1.9486804	0.015057008	0.17167167	73.0	7.482464075088501
