Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.0921986	4.3137593	21.0	-1.0	14.08156	-0.030679196	0.062138315	0.21516159	-0.251419	4000	-1.4901161e-08	13.788315	-0.018445468	-2.3555086	2.2874372	0.0049548247	0.024024025	79.0	0.3968849182128906
1	2.6455224	5.6215615	34.0	-1.0	14.798508	1.256464	0.294182	2.0554125	-0.043319132	8000	-4.967054e-09	20.437672	-0.022304961	-2.0225039	2.2789028	0.008005527	0.061561566	79.0	0.7414617538452148
2	2.1345456	4.000919	24.0	-1.0	14.349091	1.9737022	1.00331	4.7898846	-1.566041	12000	1.1175871e-08	10.200408	-0.028638763	-1.2761025	2.2656772	0.00859388	0.06356356	79.0	1.0871350765228271
3	3.069959	5.0511017	35.0	-1.0	15.962963	1.1607518	1.011238	3.6573517	-2.263745	16000	2.483527e-09	18.747343	-0.02979359	-1.9308103	2.256714	0.0074480474	0.07757758	79.0	1.4482388496398926
4	3.2469137	5.0247064	30.0	-1.0	16.296297	2.182745	1.1440914	4.60408	-1.983457	20000	-4.967054e-09	13.834689	-0.031630393	-0.71068555	2.2476249	0.0082748765	0.081581585	79.0	1.8353979587554932
5	3.299578	5.569556	31.0	-1.0	16.746836	1.888251	1.0995241	4.300199	-1.6649389	24000	-9.934108e-09	16.709007	-0.033458963	-0.76665497	2.2324314	0.0067675062	0.09284285	79.0	2.2234137058258057
6	3.2819383	5.153997	28.0	-1.0	17.286345	2.0967984	1.1117078	4.701737	-1.189847	28000	-9.934108e-09	15.028636	-0.031362265	-1.2505643	2.2080622	0.008957997	0.0965966	79.0	2.6096436977386475
7	3.4017467	5.463271	32.0	-1.0	17.152838	1.9855539	1.092202	4.32455	-1.4984082	32000	-4.967054e-09	16.12945	-0.03721026	-1.4273739	2.1932228	0.013956823	0.12987988	79.0	2.9937329292297363
8	4.0571427	5.845354	37.0	-1.0	18.861904	2.195723	1.2775329	4.9221478	-1.9668928	36000	1.4901161e-08	18.50482	-0.033577595	-1.6040615	2.1765096	0.008665069	0.12437437	79.0	3.3737800121307373
9	5.244681	7.8512583	52.0	-1.0	20.851065	2.4524553	1.2479992	5.71186	-2.6042314	40000	-4.967054e-09	29.592766	-0.03492665	-3.0872185	2.1661422	0.010507527	0.12412413	79.0	3.7591168880462646
10	5.1702127	6.902263	42.0	-1.0	20.81383	3.5495172	1.5426031	6.5422406	-2.2009594	44000	2.483527e-09	22.76571	-0.03366897	-2.0359762	2.1487195	0.012259117	0.13363363	79.0	4.15579080581665
11	4.86911	7.0783677	51.0	-1.0	20.685863	2.9802053	1.7025536	6.2450485	-2.3375003	48000	-6.208817e-09	26.116562	-0.0342863	-2.7389328	2.1132011	0.008537826	0.117117114	79.0	4.536340951919556
12	5.183784	6.394149	39.0	-1.0	21.324324	3.0268323	1.543885	6.620799	-2.3595796	52000	2.2351742e-08	21.306879	-0.034115236	-3.0008996	2.099804	0.015157871	0.12337337	66.0	4.901757001876831
13	5.2032967	7.223846	37.0	-1.0	21.565933	2.9311206	1.6141399	6.572383	-2.8917043	56000	-3.4769375e-08	26.708364	-0.03325038	-2.13887	2.087454	0.0065102223	0.12162163	79.0	5.288492918014526
14	6.0685716	7.6707892	44.0	-1.0	22.285715	3.2705352	1.5521641	6.6686745	-2.415572	60000	-8.071463e-09	31.686064	-0.037464913	-3.3542423	2.0862935	0.009485831	0.12737738	79.0	5.672249794006348
15	6.069364	7.6804557	43.0	-1.0	22.739885	3.8949685	1.8270332	8.252651	-3.219029	64000	1.9868216e-08	27.641088	-0.03417611	-2.8942556	2.070523	0.013134406	0.13763765	79.0	6.057530879974365
16	6.1618495	8.020014	53.0	-1.0	22.67052	3.6079292	1.6221534	7.8609242	-2.1820064	68000	2.483527e-09	29.362007	-0.03299124	-2.32098	2.0406628	0.009981056	0.12062063	79.0	6.436295032501221
17	7.126582	9.57696	66.0	-1.0	24.43038	3.9058118	1.7295319	8.805335	-3.2911541	72000	0.0	39.530697	-0.035914302	-4.6012607	2.0357456	0.011020417	0.13638638	79.0	6.821094989776611
18	6.85625	8.940671	45.0	-1.0	24.3125	4.4380856	2.1932771	9.571993	-4.128788	76000	-4.967054e-09	33.879986	-0.034339074	-4.089022	2.0199597	0.0048131864	0.12312313	79.0	7.203053951263428
19	7.481013	9.083803	45.0	-1.0	24.8481	4.125143	1.9940443	8.063225	-3.843796	80000	-4.967054e-09	35.155838	-0.031060696	-3.3384864	2.0008938	0.015024985	0.12712713	66.0	7.572533845901489
20	6.672956	8.577062	44.0	-1.0	24.18239	4.522285	1.907105	8.375127	-3.1183207	84000	-7.450581e-09	33.557865	-0.037360612	-4.409239	1.9825081	0.014480405	0.16316317	79.0	7.965408086776733
21	7.3694267	9.277248	55.0	-1.0	24.707006	4.219869	1.8686376	8.568883	-3.4440753	88000	4.967054e-09	36.817715	-0.03670311	-3.5929244	1.963747	0.0070732874	0.14164163	79.0	8.350283861160278
22	6.011834	7.4738107	35.0	-1.0	23.295858	4.580197	2.1200778	9.249262	-4.549577	92000	-4.967054e-09	27.118279	-0.038813654	-4.3035526	1.9407312	0.008596863	0.1564064	79.0	8.73553991317749
23	7.847682	9.686304	50.0	-1.0	25.635761	3.4149761	1.7033039	7.2663116	-3.272128	96000	0.0	39.763844	-0.034143306	-5.7254066	1.925017	0.013134296	0.13388388	79.0	9.120841979980469
24	6.9038463	8.758717	43.0	-1.0	24.72436	4.785033	2.2561114	10.642776	-5.148195	100000	-7.450581e-09	32.348183	-0.034967802	-4.559017	1.9121271	0.011410035	0.13263263	79.0	9.505347967147827
