Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.0928962	2.495264	15.0	-1.0	21.617487	0.16808642	0.0027962243	0.17600247	0.15091027	4000	1.7384687e-08	3.6679952	-0.008422362	-0.17223637	3.3971841	0.011263755	0.06356356	79.0	13.28315782546997
1	1.7388889	3.3489034	21.0	-1.0	21.827778	0.13468577	0.2714419	0.7033185	-1.3862046	8000	8.692344e-09	7.410815	-0.017034354	-0.23579466	3.3867385	0.013466853	0.14714716	79.0	26.57561182975769
2	1.4745762	3.1047034	24.0	-1.0	22.107346	0.3585155	0.0	0.3585155	0.3585155	12000	-2.483527e-09	5.7170835	-0.025290897	-0.040166695	3.3749468	0.013331246	0.15065065	79.0	39.85748887062073
3	2.3964498	3.6034482	15.0	-1.0	23.307692	0.41940767	2.9802322e-08	0.4194077	0.4194077	16000	9.934108e-09	7.8610096	-0.030374909	-0.15140001	3.3573322	0.012903894	0.1669169	79.0	53.08897876739502
4	2.2034883	3.667803	20.0	-1.0	22.813953	0.5264912	5.9604645e-08	0.52649117	0.52649117	20000	2.483527e-09	8.686339	-0.037242565	-0.13509162	3.3343093	0.013083846	0.17742743	79.0	66.33314895629883
5	2.8867924	4.3204665	23.0	-1.0	24.798742	0.62526953	5.9604645e-08	0.6252696	0.6252696	24000	0.0	10.835879	-0.03787827	-0.19973962	3.3211212	0.015111208	0.16791792	58.0	77.88209986686707
6	2.9668875	4.3920717	23.0	-1.0	25.880795	0.7378038	5.9604645e-08	0.7378039	0.7378039	28000	0.0	10.668981	-0.026306458	-0.1475811	3.2917917	0.015864486	0.15465465	27.0	86.90553689002991
7	3.7622378	5.006231	26.0	-1.0	27.377623	0.832935	0.0	0.832935	0.832935	32000	1.4901161e-08	13.8634	-0.043745223	-0.24762042	3.2572422	0.015046882	0.21921921	66.0	99.06223487854004
8	3.6462586	6.0651817	40.0	-1.0	26.70068	0.94874126	5.9604645e-08	0.9487413	0.9487413	36000	8.692344e-09	19.838371	-0.018281898	-0.26111594	3.221763	0.015567596	0.20195194	12.0	106.89233589172363
9	4.4	6.038396	32.0	-1.0	29.029629	1.0633259	0.0	1.0633259	1.0633259	40000	2.9802322e-08	22.360548	-0.018230999	-0.33649158	3.1763089	0.015423491	0.14114115	14.0	114.89082884788513
10	5.0757575	6.2602897	31.0	-1.0	29.44697	1.1862704	0.0	1.1862704	1.1862704	44000	1.9868216e-08	21.79634	-0.019034911	-0.4006672	3.1510124	0.015960544	0.16691692	12.0	122.74326777458191
11	4.5514708	5.781334	39.0	-1.0	28.705883	1.3133527	0.0	1.3133527	1.3133527	48000	-1.4901161e-08	20.374268	-0.011662275	-0.25531355	3.1220548	0.015427356	0.1931932	8.0	130.28136277198792
