Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.9714285	3.3711865	18.0	-1.0	22.725714	0.14229846	0.005111282	0.16492009	0.12052356	4000	-8.692344e-09	10.750747	-0.03627792	-2.8969982	3.3904397	0.015704798	0.17592593	64.0	114.58806610107422
1	1.9034091	3.5494545	19.0	-1.0	22.022728	1.3393685	1.2399985	5.339131	-2.4439278	8000	-4.967054e-09	10.97626	-0.05126077	-5.0189734	3.3763068	0.0151418075	0.2494995	51.0	219.22433304786682
2	2.0473373	3.3614779	22.0	-1.0	23.153847	1.3276312	1.795446	12.560357	-3.4854376	12000	9.934108e-09	11.843017	-0.032303344	-4.701013	3.35989	0.015485686	0.18193193	20.0	298.96094584465027
3	2.1190476	3.5620513	20.0	-1.0	23.035715	1.050274	1.2957869	10.931125	-2.5837038	16000	-5.5879354e-09	12.255989	-0.006278636	-4.907229	3.3459404	0.015433252	0.18693693	4.0	366.1166179180145
4	2.4720497	3.8834927	23.0	-1.0	24.198757	1.7348858	1.9022572	13.235911	-2.6665592	20000	0.0	14.405387	-0.02493439	-4.277509	3.3253927	0.016923264	0.1881882	12.0	439.56326699256897
5	3.1612904	5.128647	37.0	-1.0	25.31613	1.683551	1.2466171	7.391042	-1.8105452	24000	-9.934108e-09	22.805067	-0.009688523	-8.437373	3.3095162	0.016457578	0.22522523	4.0	506.78514313697815
6	3.4	4.6389656	20.0	-1.0	26.06	1.8801225	2.2736552	19.82789	-4.559417	28000	4.967054e-09	20.570713	-0.021114403	-5.861551	3.2646294	0.015656741	0.254004	9.0	577.8763859272003
7	3.8163266	6.1842685	37.0	-1.0	26.748299	2.4335706	1.5289037	8.582744	-1.2615106	32000	2.483527e-09	29.883566	0.00050698145	-9.415677	3.2317026	0.02089137	0.26526526	2.0	643.4996600151062
8	3.2297297	4.374519	25.0	-1.0	26.43919	2.5892203	2.7193782	36.95093	-5.3680806	36000	8.692344e-09	20.677483	-0.027997918	-6.564192	3.208006	0.015334069	0.20245247	17.0	720.6266210079193
9	2.9801323	4.0073943	21.0	-1.0	25.900661	2.0989332	1.1906326	6.037723	-0.5337522	40000	7.450581e-09	12.60809	-0.053148586	-0.6051542	3.153803	0.015283234	0.19994994	36.0	812.7022440433502
10	4.2230215	5.4707108	28.0	-1.0	28.330935	2.0213852	1.0327083	4.40937	-0.9127588	44000	-1.7384687e-08	23.599165	-0.026351497	-4.055286	3.1226432	0.016210446	0.22447447	10.0	884.4333341121674
11	3.5633802	5.0329404	32.0	-1.0	27.746479	3.112094	2.0633416	11.339464	-2.6828938	48000	9.934108e-09	23.938948	-0.02313289	-5.069364	3.0850928	0.016096639	0.2017017	10.0	955.9740679264069
12	4.9097743	6.0018272	32.0	-1.0	29.31579	2.2653968	1.5969164	9.028179	-1.2642579	52000	4.967054e-09	29.503523	-0.028783327	-5.7851377	3.066388	0.01641309	0.21371372	12.0	1029.1628069877625
13	4.546875	6.077442	43.0	-1.0	30.210938	3.3815656	2.579161	23.50486	-2.3305705	56000	4.967054e-09	32.840485	-0.0395148	-9.654999	3.028951	0.015700268	0.22272272	20.0	1108.6657509803772
14	4.0530305	4.1529737	17.0	-1.0	29.477272	2.9296005	2.3015776	14.752123	-4.6084757	60000	-8.692344e-09	15.170723	-0.018237608	-3.8643863	2.9963367	0.01566037	0.23048049	7.0	1177.9405388832092
15	5.392	6.2455053	31.0	-1.0	31.232	2.3477306	1.6396159	7.3269825	-2.8107247	64000	2.4835268e-08	31.748846	-0.0026259965	-7.755819	2.936855	0.017193237	0.29054055	2.0	1243.333121061325
16	5.4793386	6.0235066	44.0	-1.0	32.18182	3.8080873	2.6143723	15.2914	-6.5158944	68000	9.934108e-09	33.601208	-0.020142255	-11.537506	2.8520896	0.015487974	0.23948948	8.0	1313.5086269378662
17	5.4132233	5.5053234	27.0	-1.0	32.19835	2.3646104	2.0620213	14.972334	-0.9480551	72000	-2.2351742e-08	25.822939	-0.0002484472	-5.415573	2.8093574	0.01951201	0.3003003	2.0	1378.7916898727417
18	6.763158	6.910839	38.0	-1.0	34.175438	3.315836	2.1752393	17.102133	-0.82678187	76000	-2.483527e-09	40.202175	0.0012374116	2.9677086	2.7087288	0.021094719	0.28678676	2.0	1443.987009048462
19	6.5044246	6.85646	35.0	-1.0	34.575222	3.4746714	2.9067485	11.791631	-0.2855711	80000	-1.4901161e-08	39.170265	-0.0031709687	-8.724973	2.6277227	0.016153814	0.25075075	2.0	1509.189701795578
20	7.0183487	8.375348	49.0	-1.0	35.77064	4.2330494	2.534668	15.733785	-1.8665016	84000	0.0	55.001537	-0.0037956804	-27.808332	2.490116	0.018054545	0.25925925	2.0	1574.4743869304657
