Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.9602273	3.6917613	19.0	-1.0	22.210228	0.029520933	7.65566e-06	0.029902969	0.02952063	4000	-1.9868216e-08	14.676837	-0.011451679	-0.9135391	3.3883955	0.008893329	0.10085085	79.0	4.734355926513672
1	1.8641304	4.042978	26.0	-1.0	21.456522	0.7315503	0.38068694	2.0512989	0.16364428	8000	-1.2417634e-08	14.615338	-0.0139052635	-1.3294168	3.3793552	0.014313844	0.11336336	79.0	9.56069302558899
2	1.9269663	3.4673846	25.0	-1.0	21.988764	1.2916374	0.7189607	2.311549	-1.1895716	12000	3.7252903e-09	10.663685	-0.012994084	-0.3448154	3.3636503	0.00845519	0.10685686	79.0	14.753386974334717
3	1.5762712	2.9374077	14.0	-1.0	22.00565	1.2106104	0.72721314	2.6225739	-1.1250088	16000	7.450581e-09	7.3911133	-0.015378383	-0.31583992	3.3574665	0.011311115	0.11961963	79.0	19.96577000617981
4	2.526946	4.742235	30.0	-1.0	23.281437	0.9425543	0.6574588	2.2124927	-1.7868172	20000	-3.1044085e-09	18.330576	-0.017452428	-1.0839331	3.3473113	0.011640105	0.11611613	79.0	25.039926052093506
5	2.5748503	4.504698	28.0	-1.0	23.646708	1.7223005	0.9166066	3.3529165	-1.8348012	24000	-7.450581e-09	17.223999	-0.02242667	-0.30648002	3.3355815	0.012913164	0.14164165	79.0	30.08964204788208
6	2.2848485	4.395323	33.0	-1.0	23.781818	1.7240639	0.9756549	4.2661886	-2.0503435	28000	-1.2417635e-09	16.598722	-0.019137971	-0.56235975	3.3198726	0.007335007	0.1051051	79.0	35.17570996284485
7	3.2251656	4.418762	30.0	-1.0	25.807947	1.5781133	0.9525032	3.7351873	-2.5851004	32000	-4.967054e-09	15.255569	-0.020888181	-0.6620203	3.299527	0.0097841555	0.12762763	79.0	40.23663377761841
8	3.5197368	5.449493	28.0	-1.0	25.743422	2.0522008	1.1943333	4.8882103	-2.1523795	36000	1.8626451e-08	25.430006	-0.026974715	-1.1038189	3.2809076	0.012149262	0.15465465	79.0	45.28263974189758
9	4.076923	5.5684886	32.0	-1.0	27.643356	2.4930747	1.2509267	5.8986473	-2.4110925	40000	3.1044085e-09	25.38871	-0.028269744	-0.98729247	3.2560997	0.008793319	0.14414415	79.0	50.329779863357544
10	3.9051094	5.673454	30.0	-1.0	28.10219	2.7385044	1.5753509	6.703623	-3.3221817	44000	-6.208817e-09	28.58251	-0.03208218	-2.2684262	3.227214	0.014071648	0.1846847	79.0	55.39368486404419
11	5.0152674	6.1582007	37.0	-1.0	29.91603	3.2054403	1.6703937	7.753169	-3.3983142	48000	2.483527e-09	32.367428	-0.020642387	-2.218394	3.1932583	0.015084977	0.1971972	29.0	58.983540058135986
12	4.4402986	5.5684495	28.0	-1.0	29.179104	3.5097702	1.8307749	7.983802	-2.9635878	52000	9.934108e-09	25.939783	-0.026760602	-2.2369576	3.1476548	0.011906208	0.1534034	79.0	64.07262372970581
13	4.3656716	5.665477	35.0	-1.0	29.320896	2.9477031	1.5060788	5.9678073	-1.8632817	56000	1.7384687e-08	25.347174	-0.028418211	-0.820926	3.1318958	0.010301657	0.16116117	79.0	69.13610196113586
14	5.272	8.556051	70.0	-1.0	31.208	2.7001379	1.5161525	5.543921	-2.6011572	60000	2.483527e-09	75.08968	-0.028889164	-4.9584403	3.0872135	0.01502121	0.19794793	74.0	74.03544282913208
15	5.75	6.2902155	29.0	-1.0	33.603447	4.2307205	2.0851862	9.344197	-3.8114023	64000	2.483527e-09	27.42719	-0.030160537	-1.4419416	3.0193958	0.01186367	0.17092091	79.0	79.09711194038391
16	6.2478633	7.0721626	32.0	-1.0	33.188034	3.8034291	2.0040839	8.586538	-3.0789618	68000	1.5522042e-08	36.32268	-0.034896873	-0.9654398	3.0229924	0.014851677	0.20395394	79.0	84.1525719165802
17	7.0366974	9.251757	51.0	-1.0	35.59633	3.997506	2.3061554	9.022949	-4.570987	72000	7.450581e-09	71.37801	-0.031259585	-2.8038852	2.9886062	0.00923268	0.16916917	79.0	89.20849680900574
18	6.147826	7.0405574	31.0	-1.0	33.947826	5.2328773	2.1205354	10.262994	-2.4043336	76000	1.9868216e-08	37.31482	-0.033802506	-2.81118	2.9524662	0.013804339	0.17317317	79.0	94.29158401489258
19	7.364486	8.41271	49.0	-1.0	36.53271	4.0003023	2.2419426	10.422957	-4.00728	80000	-2.2351742e-08	59.9352	-0.034467626	-4.0064225	2.907505	0.01270463	0.18018019	79.0	99.35850596427917
20	8.300971	11.212713	80.0	-1.0	37.970875	5.140569	2.265994	10.679755	-3.260097	84000	-1.9868216e-08	127.56326	-0.032554146	-10.152946	2.8668518	0.011767778	0.15765767	79.0	104.42713594436646
21	8.059406	8.025728	45.0	-1.0	38.049503	6.6397104	3.4482045	15.25316	-6.5015106	88000	2.483527e-09	51.311047	-0.034867004	-5.2950664	2.8449032	0.014690433	0.1841842	79.0	109.4809217453003
22	10.568421	10.099143	47.0	-1.0	40.68421	5.624019	2.3825312	10.677092	-2.085987	92000	2.9802322e-08	77.73623	-0.03328986	-4.609347	2.7634742	0.012777563	0.1664164	79.0	114.54522180557251
23	8.887755	8.553412	39.0	-1.0	39.877552	6.9600754	2.966217	13.406421	-3.5829768	96000	-5.5879354e-09	52.618378	-0.03028079	-3.0489852	2.7473204	0.01315212	0.16916917	79.0	119.59236598014832
24	12.83721	12.483348	51.0	-1.0	44.90698	5.6239977	2.7826977	11.821286	-3.5850837	100000	0.0	113.90562	-0.03397598	-12.837334	2.6745374	0.009480286	0.18043043	79.0	124.67259287834167
25	10.955556	10.063036	53.0	-1.0	43.666668	8.533844	3.8449767	15.198298	-4.4570193	104000	-4.967054e-09	73.29359	-0.027862718	-3.1876194	2.6321678	0.015013452	0.1473974	40.0	128.5943009853363
26	14.225	12.351088	44.0	0.0	48.1875	7.1366463	3.472355	13.216057	-4.3896813	108000	1.2417634e-08	104.756065	-0.03382734	-8.824971	2.5684195	0.013231143	0.17742743	79.0	133.6540400981903
27	15.775	13.955263	59.0	0.0	48.7125	9.301492	4.1859293	17.485853	-4.025607	112000	0.0	168.98167	-0.011956778	-6.8729324	2.5010183	0.015329421	0.2142142	11.0	136.7234628200531
28	16.472973	15.088229	60.0	-1.0	50.648647	11.222233	4.4484086	19.928495	-3.3856719	116000	-1.9868216e-08	188.18285	-0.032282498	-5.513527	2.5016432	0.013176327	0.18268268	79.0	141.7605209350586
