Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.9058824	3.1608768	17.0	-1.0	23.05294	0.058671676	0.0026040522	0.071431115	0.049779214	4000	-3.973643e-08	4.352362	-0.0018158369	-0.7441923	3.395755	0.00038540037	0.0	79.0	22.77578592300415
1	1.3641304	2.6381435	12.0	-1.0	21.39674	0.8732997	0.34262443	1.4081322	0.06490642	8000	2.483527e-09	2.6150284	-0.0019417387	-0.23042317	3.3958123	0.00063886103	0.0	79.0	45.66326403617859
2	1.7257143	3.0263927	15.0	-1.0	22.422857	0.55345607	0.52176654	2.0784256	-0.78004533	12000	2.483527e-09	3.1958568	-0.0022235985	-0.2902764	3.396058	0.0004519427	0.0	79.0	68.46384286880493
3	1.9717515	3.2284565	14.0	-1.0	22.101694	0.75849277	0.6250335	2.546677	-1.5935738	16000	9.934108e-09	3.5776577	-0.0019730292	-0.24542286	3.39582	0.00038072056	0.0	79.0	91.31017303466797
4	1.8636364	3.4843216	17.0	-1.0	22.482954	1.1483372	0.64000267	2.7492821	-1.0291985	20000	2.483527e-09	4.4055076	-0.0016235238	-0.6634575	3.3952625	-7.0302456e-05	0.0	79.0	114.0989248752594
5	1.7272727	2.8632755	17.0	-1.0	22.386364	0.7648073	0.73900366	3.0153828	-2.1596859	24000	-6.208817e-09	3.0137537	-0.0027411033	-0.33728874	3.3948488	3.7641392e-05	0.0	79.0	136.87328386306763
6	2.098266	3.9442132	24.0	-1.0	22.83815	0.672814	0.63669693	3.0155575	-1.8745733	28000	0.0	5.749229	-0.0013118932	-1.1911504	3.394243	0.000295051	0.0	79.0	159.69387292861938
7	1.6777778	3.3410835	19.0	-1.0	21.711111	0.8936052	0.91208166	6.67724	-2.9217062	32000	-3.7252903e-09	4.3237	-0.0017978108	-0.8696113	3.3943224	0.00063549326	0.0	79.0	182.5696988105774
8	1.4340659	3.1261997	19.0	-1.0	21.5	0.7362202	0.6937576	3.3148024	-2.5271149	36000	4.967054e-09	3.2603233	-0.0023624944	-0.5056318	3.3940308	0.0002719644	0.0	79.0	205.48716592788696
9	2.115607	3.7041516	18.0	-1.0	22.647398	0.5504231	0.6406375	3.158503	-1.8964615	40000	-9.934108e-09	4.839826	-0.0017080195	-0.5661679	3.3938208	0.00018749647	0.0	79.0	228.29935693740845
10	1.9064327	3.2718031	19.0	-1.0	23.052631	0.93045944	0.72307116	3.6896284	-2.276237	44000	-4.967054e-09	3.8305404	-0.0022754564	-0.49867764	3.3941777	0.00039334493	0.0	79.0	251.08913803100586
11	1.3166667	2.684265	15.0	-1.0	21.688889	0.8151393	0.62541676	2.872411	-1.2300748	48000	7.450581e-09	2.5180647	-0.0021161244	-0.37419283	3.3936183	0.0003133276	0.0	79.0	273.9918668270111
12	1.7771429	3.3143053	16.0	-1.0	22.428572	0.5462802	0.5747552	2.7766647	-1.3494653	52000	2.483527e-09	3.6908576	-0.0016798027	-0.22009392	3.3925602	0.00050542696	0.0	79.0	296.7487807273865
13	1.5666667	3.373261	19.0	-1.0	21.76111	0.7821242	0.57892144	3.2841675	-1.0553083	56000	-2.483527e-09	3.8215544	-0.0021727474	-0.2871745	3.3918793	0.00018490781	0.0	79.0	319.5239999294281
14	2.1686046	3.7432966	20.0	-1.0	22.686047	0.697315	0.64718616	3.0724802	-1.4062734	60000	9.934108e-09	4.9938073	-0.0017484935	-0.48566493	3.390556	0.00031455714	0.0	79.0	342.25812005996704
15	2.2441862	3.667697	18.0	-1.0	23.10465	1.0282602	0.7125623	2.9469202	-1.8259712	64000	-1.4901161e-08	4.5516872	-0.0022192714	-0.4242616	3.3900843	2.4176572e-05	0.0	79.0	365.1864540576935
16	2.3414633	3.8325293	21.0	-1.0	23.853659	0.9424634	0.7735331	3.5856247	-2.2318168	68000	7.450581e-09	5.0202866	-0.0013833313	-0.71881574	3.389169	0.00039942042	0.0	79.0	387.9814429283142
