Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.220339	4.422852	28.0	-1.0	22.107346	-0.062193234	0.0005775394	-0.057921726	-0.0649229	4000	2.4835268e-08	7.796032	-0.015259773	-1.398923	3.3816407	0.015102413	0.08108108	41.0	9.978239059448242
1	1.8181819	2.8585813	14.0	-1.0	22.357954	1.0746739	0.33858225	1.5485035	0.09523769	8000	-1.2417635e-09	3.100011	-0.016513726	-0.17721815	3.3695214	0.011093487	0.1398899	79.0	22.994132041931152
2	1.9883721	3.8714643	32.0	-1.0	22.86628	0.8392294	0.3975776	1.6021588	-0.16226107	12000	-1.4901161e-08	5.1422095	-0.015577197	-0.3438026	3.3531015	0.0127366735	0.1383884	79.0	35.98458290100098
3	1.9588236	3.3647933	23.0	-1.0	22.941177	0.8141412	0.73780596	2.9147713	-1.3870176	16000	-1.2417634e-08	4.3769755	-0.013170194	-0.5630999	3.3296235	0.012439143	0.1041041	79.0	48.97559189796448
4	2.5833333	3.8996592	26.0	-1.0	23.452381	0.88951904	0.63910043	2.322513	-1.3548553	20000	9.934108e-09	4.5811687	-0.018023359	-0.2579341	3.3497913	0.009368927	0.13613613	79.0	61.97638988494873
5	2.2965117	3.8457754	18.0	-1.0	23.098837	1.1376191	0.7677044	2.957737	-2.0685625	24000	9.934108e-09	4.6974864	-0.026901519	-0.6306848	3.3386335	0.012449411	0.14764765	79.0	74.97780084609985
6	2.4012346	4.2824073	29.0	-1.0	24.166666	0.9735083	0.76284397	2.866558	-2.3955479	28000	-4.967054e-09	5.4906993	-0.032473456	-0.5476476	3.320741	0.007954835	0.1549049	79.0	87.99053907394409
7	3.1466668	4.719303	25.0	-1.0	26.08	1.0026742	0.66185135	2.4500046	-1.4974773	32000	-1.4901161e-08	6.5451317	-0.033758473	-0.6581751	3.304446	0.010921814	0.18068068	79.0	100.99228596687317
8	3.143791	5.199822	28.0	-1.0	25.535948	1.2958617	0.9426824	3.6730723	-2.6591773	36000	0.0	8.28352	-0.039772894	-1.4291878	3.2743604	0.013381609	0.19544546	79.0	114.01519894599915
9	3.6482759	5.791231	36.0	-1.0	26.855173	1.4457918	1.098266	4.876654	-3.7652574	40000	-3.7252903e-09	10.76342	-0.020386185	-1.5745405	3.2424896	0.015600294	0.25150147	19.0	122.2814610004425
