Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.1179776	3.74805	28.0	-1.0	22.235954	0.010172096	0.025299951	0.12939912	-0.07081711	4000	-9.934108e-09	13.758389	-0.001671434	-1.5681715	3.3966198	0.00072919094	0.0	79.0	4.361924648284912
1	2.0514286	3.9166582	27.0	-1.0	22.325714	1.1785516	0.074353665	1.4265794	1.040294	8000	3.7252903e-09	14.656741	-0.006662226	-0.5082467	3.3954837	0.0050563565	0.04904905	79.0	8.766949892044067
2	2.3236995	4.3806415	27.0	-1.0	22.445087	1.4772826	0.4201855	2.218353	0.4843152	12000	1.2417634e-08	15.833219	-0.007546667	-0.26302004	3.390396	0.004020452	0.023273274	79.0	13.184664964675903
3	2.4761906	4.217244	19.0	-1.0	23.392857	1.8209401	0.595101	2.7992096	0.23618072	16000	2.483527e-09	14.7534075	-0.014479901	-0.5343773	3.3825023	0.006898256	0.10635635	79.0	17.58421277999878
4	2.1030302	3.6855562	22.0	-1.0	23.521212	1.6253284	0.92095554	4.6645284	-1.5180756	20000	-1.800557e-08	13.877206	-0.017666884	-0.45480165	3.367448	0.012079208	0.1629129	79.0	22.01579999923706
5	2.7610064	4.1046977	22.0	-1.0	24.767296	1.4727845	0.94403946	3.7187045	-2.4637058	24000	-2.483527e-09	14.2866125	-0.015798269	-0.30118918	3.3421252	0.009718615	0.0950951	79.0	26.41243290901184
6	3.1910827	5.894112	40.0	-1.0	25.152866	1.8294975	0.8596076	4.144687	-1.0756216	28000	1.9868216e-08	33.506683	-0.018057978	-1.434605	3.3296387	0.009076688	0.11511511	79.0	30.81971788406372
7	2.9477124	4.2592325	22.0	-1.0	25.699347	2.5865397	1.1196916	6.92804	-1.871556	32000	-2.483527e-09	13.881421	-0.02083172	-1.3005024	3.3276765	0.009419529	0.11411411	79.0	35.20616698265076
8	2.875	4.3306017	20.0	-1.0	25.756578	1.9093226	1.2985021	5.094668	-2.276809	36000	9.934108e-09	14.93851	-0.022525521	-0.35973802	3.2934558	0.013094806	0.12862863	79.0	39.59637093544006
9	4.2262774	6.014572	40.0	-1.0	28.10949	1.7914428	1.2585126	5.207559	-2.1307592	40000	-9.934108e-09	29.968134	-0.028433109	-2.3593695	3.2600696	0.014190075	0.17317319	79.0	44.011394023895264
10	4.114286	5.1075373	26.0	-1.0	28.064285	3.1610274	1.4546274	6.513997	-1.9314377	44000	2.483527e-09	19.897446	-0.030685656	-0.8636635	3.221283	0.013577022	0.1654154	79.0	48.42732286453247
11	4.5114503	4.942982	30.0	-1.0	29.847328	2.6637619	1.3270296	5.6573114	-1.6446321	48000	1.2417635e-09	19.68191	-0.029155174	-0.3643476	3.184151	0.011866466	0.18643643	79.0	52.85065293312073
12	5.2598424	6.4260945	39.0	-1.0	30.913385	3.018049	1.4816524	6.3294387	-1.9424716	52000	-1.8626451e-09	33.001682	-0.033856172	-1.1340871	3.149499	0.012840948	0.2042042	79.0	57.237523794174194
13	7.362832	9.249791	56.0	-1.0	34.309734	3.565364	1.7276776	6.722453	-2.7357934	56000	2.4835268e-08	70.35906	-0.029111506	-4.3910527	3.1057484	0.013169573	0.16891892	79.0	61.63906407356262
14	8.875	9.739577	42.0	-1.0	37.625	5.0602765	2.3856635	10.002142	-3.3973942	60000	0.0	68.325096	-0.030046737	-2.2395782	3.066499	0.015053918	0.1816817	70.0	65.79139280319214
15	9.128713	9.437301	67.0	-1.0	38.19802	6.203919	2.7234225	11.807163	-5.502953	64000	-9.934108e-09	66.069336	-0.029536506	-2.5126374	3.0171185	0.011062893	0.18468468	79.0	70.18161582946777
16	9.49	11.126091	55.0	-1.0	38.67	5.645976	3.0663724	11.1186075	-5.7202816	68000	1.4901161e-08	99.83853	-0.033630516	-5.246052	2.9778893	0.013871048	0.21046047	79.0	74.59484004974365
17	10.4838705	10.302534	52.0	-1.0	41.387096	6.908427	3.1828375	13.244871	-3.8506517	72000	-4.967054e-09	92.8989	-0.033270616	-4.786903	2.9168682	0.014115806	0.1971972	79.0	79.00252795219421
18	11.516483	13.977504	80.0	-1.0	42.505493	7.4621696	3.1126425	13.348133	-2.8610559	76000	-9.934108e-09	218.84016	-0.03139892	-6.9874673	2.8709214	0.01011618	0.1921922	79.0	83.44307088851929
19	12.9382715	11.939503	52.0	-1.0	45.82716	9.144664	2.796404	15.28146	-1.7987128	80000	-4.967054e-09	106.92741	-0.03266618	-3.668541	2.8029249	0.010968928	0.18493493	79.0	87.83550381660461
20	11.360465	11.299221	49.0	-1.0	45.011627	9.05598	4.1237893	16.179247	-5.5696106	84000	1.2417634e-08	84.72262	-0.0113772005	-3.9940033	2.7729847	0.016201593	0.2917918	10.0	90.50308775901794
21	15.025641	13.411604	67.0	0.0	49.03846	7.5374026	3.7634387	14.575329	-3.868601	88000	8.692344e-09	138.43039	-0.010645124	-7.1421027	2.7383213	0.015507936	0.22097099	8.0	93.09413075447083
22	13.353659	11.43526	53.0	-1.0	47.841465	10.106673	3.9577062	16.594479	-3.292092	92000	-4.967054e-09	96.80964	-0.031390343	-4.645643	2.7137635	0.0061538913	0.17417419	79.0	97.49775791168213
23	16.81081	16.003948	65.0	-1.0	51.60811	8.213002	3.6573296	14.137262	-4.1076107	96000	-9.934108e-09	223.26945	-0.031882826	-19.999304	2.6466265	0.0109460605	0.1684184	79.0	101.90125894546509
24	13.345679	10.300617	53.0	-1.0	48.246914	12.498928	4.2947435	21.462908	-1.7159221	100000	1.2417634e-08	94.91406	-0.0119856335	-18.6267	2.644217	0.016119013	0.1921922	10.0	104.55975794792175
25	18.173914	14.623742	71.0	-1.0	55.144928	8.256323	4.140267	15.549937	-4.095546	104000	-3.7252903e-09	177.92842	-0.03268337	-15.198684	2.6227772	0.011578272	0.18068068	79.0	108.94908475875854
26	15.96	14.937595	76.0	0.0	50.64	11.957963	4.2460117	19.553421	-1.798322	108000	-9.934108e-09	199.1725	-0.029814698	-4.5665984	2.5665877	0.010172225	0.16766767	79.0	113.38351893424988
27	16.583334	14.995138	66.0	0.0	53.833332	12.425237	4.5632234	20.108097	-4.783241	112000	1.8626451e-08	144.67178	-0.029273458	-4.737929	2.5116217	0.0134864	0.1876877	79.0	117.7895028591156
28	20.919355	14.288838	58.0	2.0	59.98387	11.167012	5.4016447	19.875454	-7.3844466	116000	4.967054e-09	158.967	-0.020070605	-8.476041	2.4386027	0.015192635	0.13238238	28.0	120.89590978622437
29	22.031746	19.076262	71.0	0.0	60.857143	14.03387	5.8277664	23.10376	-5.557981	120000	2.9802322e-08	312.31503	-0.029411824	-13.290929	2.4174116	0.010640797	0.16191192	79.0	125.29140877723694
30	25.362068	17.438265	65.0	0.0	66.086205	16.271786	7.066146	28.879852	-6.8306584	124000	-9.934108e-09	262.21387	-0.030186951	-6.8792853	2.3379662	0.008315867	0.16466467	79.0	129.7034707069397
31	25.157894	19.73401	72.0	0.0	64.070175	17.759748	4.9150734	26.074654	-2.7346947	128000	-4.967054e-09	378.0748	-0.02805914	-25.215471	2.3032937	0.008367758	0.1478979	79.0	134.19277572631836
32	22.507936	18.481112	65.0	0.0	60.84127	20.376467	7.3664865	35.121807	-6.1527605	132000	4.967054e-09	408.36816	-0.008138473	-15.110417	2.2748573	0.016118815	0.1941942	8.0	136.7895369529724
