Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.1918604	3.6493618	17.0	-1.0	23.005814	-0.2736393	0.019808615	-0.16785423	-0.32817385	4000	-9.934108e-09	10.11962	-0.032650504	-5.0266976	3.393717	0.009840345	0.043293294	79.0	0.503659725189209
1	1.7374302	3.628456	21.0	-1.0	22.039106	1.2179222	0.9728918	4.8033376	-0.61949074	8000	-1.3038516e-08	7.5998917	-0.044491213	-3.6250057	3.387123	0.0129254805	0.088588595	79.0	0.986814022064209
2	2.2865498	4.0050836	20.0	-1.0	23.02924	0.81611097	1.4356188	8.1729965	-1.3637983	12000	1.2417635e-09	11.1545105	-0.053110402	-6.4828353	3.376319	0.012111147	0.1504004	79.0	1.5125477313995361
3	2.0697675	3.3193955	15.0	-1.0	22.872093	0.9570118	1.6015642	7.506215	-1.8484254	16000	1.4901161e-08	7.414942	-0.05958369	-4.1922746	3.3636677	0.010424332	0.1609109	79.0	2.0442068576812744
4	2.4046242	5.101103	34.0	-1.0	22.624277	1.0262089	1.4249473	6.961338	-1.3484741	20000	0.0	15.38454	-0.055328984	-8.031066	3.3513572	0.01517609	0.14439438	53.0	2.510300874710083
5	2.0117648	3.7053034	25.0	-1.0	23.15294	1.760617	2.0959258	14.416415	-1.4310502	24000	9.934108e-09	11.233602	-0.05942884	-6.5794334	3.3302476	0.015039296	0.1861862	60.0	2.995459794998169
6	2.628049	4.655387	33.0	-1.0	23.963415	0.87761724	1.1998374	7.8229585	-1.3491756	28000	9.934108e-09	13.595359	-0.043117255	-8.314518	3.3150294	0.015045698	0.115615614	36.0	3.4189298152923584
7	2.1411765	3.3559532	19.0	-1.0	23.241177	1.371877	1.6192569	13.845901	-0.8144361	32000	4.967054e-09	7.690155	-0.05594948	-4.2286506	3.300417	0.015280053	0.17542543	52.0	3.8848278522491455
8	2.2202382	3.4939158	17.0	-1.0	23.553572	1.0459151	1.1945467	10.382568	-0.9658641	36000	-7.450581e-09	7.8041415	-0.046433907	-3.212534	3.2847388	0.01516277	0.12462463	38.0	4.312691926956177
9	2.9745224	4.804389	28.0	-1.0	25.0	1.1663265	1.1055647	6.006526	-1.1144732	40000	-3.1044085e-09	13.836955	-0.045437887	-8.236382	3.2642632	0.015564814	0.117617615	34.0	4.739390850067139
