Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.04	3.3879788	13.0	-1.0	22.462856	0.026870372	0.1623231	0.7669058	-0.58356506	4000	8.071463e-09	11.145419	-0.04394709	-1.8972138	3.387678	0.0153794205	0.06531531	32.0	0.2787911891937256
1	2.5030303	4.186014	24.0	-1.0	23.866667	0.84112024	0.281038	1.8962822	-0.2855744	8000	8.692344e-09	15.759799	-0.04732277	-1.8313366	3.3826694	0.0151304575	0.05405405	39.0	0.5656170845031738
2	2.3511906	4.049015	31.0	-1.0	23.392857	1.2473577	0.45886517	2.7621636	-0.83758426	12000	9.934108e-09	14.175202	-0.0581444	-1.2635562	3.3783302	0.015294425	0.08708709	53.0	0.871204137802124
3	2.509091	4.2220464	23.0	-1.0	23.642424	1.3588665	0.64031947	3.2628994	-1.620743	16000	4.967054e-09	14.991717	-0.059619952	-1.5983855	3.3718803	0.015099153	0.080580585	52.0	1.1711821556091309
4	2.5988023	5.8729663	65.0	-1.0	23.60479	1.6390578	0.7365807	3.767659	-2.4214413	20000	-9.934108e-09	41.478344	-0.04542655	-4.294657	3.3630123	0.0151222125	0.08658659	46.0	1.497521162033081
5	2.5214725	4.478082	30.0	-1.0	24.15951	1.8100461	0.9710926	4.7423496	-3.133399	24000	1.9868216e-08	16.64706	-0.061525684	-1.2597495	3.357064	0.015071298	0.08908909	53.0	1.8315200805664062
6	2.2142856	3.7466538	23.0	-1.0	23.333334	1.6634194	1.122286	4.6590843	-3.467844	28000	-1.9868216e-08	11.730811	-0.06230156	-1.1652046	3.3507607	0.015003941	0.10835836	54.0	2.1662440299987793
7	2.3473053	4.056381	23.0	-1.0	23.57485	1.4834735	1.1109383	4.0464683	-3.616723	32000	0.0	14.366904	-0.06423934	-1.4105426	3.3463528	0.0151583515	0.10535536	63.0	2.5205891132354736
8	2.8037975	4.3610168	26.0	-1.0	24.689873	1.4421636	1.1572224	3.9025269	-4.330675	36000	9.934108e-09	16.930212	-0.06782269	-1.5343839	3.3361444	0.015220181	0.12437438	67.0	2.8808932304382324
9	3.08125	4.9924593	29.0	-1.0	24.625	1.8758554	0.98364097	4.4317474	-2.6445851	40000	7.450581e-09	20.527697	-0.06504565	-1.5287161	3.33163	0.0150512615	0.11011011	59.0	3.225080966949463
10	2.3950617	4.095101	24.0	-1.0	23.851852	2.0590987	1.1724281	4.675349	-4.923878	44000	7.450581e-09	15.807903	-0.070093326	-1.4608482	3.3164685	0.015264347	0.120120116	70.0	3.5993032455444336
11	2.6858974	4.105663	18.0	-1.0	25.153847	1.7219213	1.2132121	5.353423	-3.279772	48000	-1.1175871e-08	13.958996	-0.072246276	-1.4629406	3.3077266	0.015207644	0.13363363	66.0	3.9536869525909424
12	3.625	5.1806984	28.0	-1.0	25.592106	1.85053	1.1363372	4.4491725	-3.832809	52000	-9.934108e-09	23.557175	-0.07060778	-2.5606751	3.2960417	0.015004501	0.13213213	66.0	4.308858156204224
13	2.3229814	4.3304534	26.0	-1.0	24.509317	2.4102461	1.1670966	5.2205634	-3.047649	56000	-1.9868216e-08	15.968941	-0.059718158	-2.2068226	3.2879488	0.015005775	0.120120116	55.0	4.645685911178589
14	3.1333334	4.545572	23.0	-1.0	26.026667	1.6642559	1.2220395	4.5250278	-4.807272	60000	-7.450581e-09	16.303656	-0.0641999	-1.5264372	3.271011	0.015052616	0.0965966	58.0	4.987138986587524
15	2.621795	4.046751	27.0	-1.0	25.378204	1.8725835	1.2122219	4.2297945	-4.9984136	64000	0.0	13.743289	-0.07037727	-1.1235937	3.2581284	0.015159816	0.1343844	70.0	5.354027032852173
16	2.6666667	3.7936995	22.0	-1.0	25.529411	1.6041129	1.21969	4.0479164	-4.099864	68000	4.967054e-09	11.63207	-0.07009459	-1.1143563	3.2402172	0.015251423	0.13638638	68.0	5.717845916748047
17	3.9230769	5.233134	24.0	-1.0	27.153847	1.6634823	1.200853	4.0340576	-3.7698054	72000	-1.3659398e-08	21.598099	-0.054015875	-2.1716213	3.2284088	0.015102632	0.0950951	48.0	6.03951096534729
18	4.356643	6.252726	41.0	-1.0	27.685314	2.2595446	1.2562582	5.127821	-3.4799273	76000	7.450581e-09	37.905567	-0.06168303	-3.9730542	3.2148848	0.015197631	0.11461461	61.0	6.39007306098938
19	3.3	4.9217205	30.0	-1.0	26.073334	3.0429254	1.2506714	6.2013106	-3.6529667	80000	6.208817e-09	21.195566	-0.064255126	-2.2967377	3.1987755	0.01508117	0.1076076	57.0	6.73022723197937
20	3.3243244	5.4216986	35.0	-1.0	26.29054	2.39054	1.3253856	5.341794	-4.015568	84000	9.934108e-09	26.618979	-0.06338348	-2.883742	3.2009096	0.015154574	0.11811813	61.0	7.090363025665283
21	2.6887417	3.8775723	22.0	-1.0	25.907286	2.3784459	1.2558799	5.6099615	-3.1800957	88000	-8.692344e-09	14.124164	-0.06610208	-1.5950919	3.187732	0.0150193125	0.12437437	65.0	7.450160026550293
22	3.5655172	5.422576	32.0	-1.0	26.668966	1.700862	1.3365184	4.3052053	-5.583959	92000	6.208817e-09	32.544243	-0.069434546	-4.464992	3.1810067	0.015136433	0.14014013	76.0	7.824883222579956
23	3.5174825	5.271447	36.0	-1.0	27.18881	2.6252677	1.3321877	5.800171	-5.0958824	96000	-9.934108e-09	24.701395	-0.06567042	-2.3325021	3.159323	0.015228954	0.1076076	57.0	8.166800022125244
24	3.8285713	5.2602863	33.0	-1.0	28.185715	2.5593565	1.2505752	5.324827	-3.4331021	100000	-1.7384687e-08	24.656294	-0.06656508	-2.6756756	3.1552277	0.015105035	0.11486486	59.0	8.509438276290894
25	3.4820144	4.3652525	23.0	-1.0	28.179855	2.6462955	1.3169425	5.723413	-4.643014	104000	0.0	15.501025	-0.059014827	-1.780373	3.1422698	0.015272205	0.088588595	48.0	8.837850093841553
26	4.1397057	5.1722856	29.0	-1.0	28.779411	2.1079316	1.4088752	5.1127844	-5.2347074	108000	-1.4901161e-08	20.747057	-0.06520575	-2.0650089	3.122096	0.015061053	0.13313313	59.0	9.179255962371826
27	3.4113476	4.3271713	25.0	-1.0	27.765957	2.6566467	1.5082108	5.652362	-3.908073	112000	0.0	14.987415	-0.0746224	-1.7473606	3.106511	0.015016378	0.17667668	78.0	9.5588059425354
28	4.2348485	5.9935064	37.0	-1.0	29.613636	2.0643914	1.492347	4.911864	-4.706632	116000	-4.967054e-09	31.149897	-0.06656246	-4.0612187	3.081393	0.015264603	0.1423924	71.0	9.924482107162476
29	3.647482	5.086112	35.0	-1.0	28.10072	2.9584613	1.3455439	5.831514	-4.6391234	120000	2.483527e-09	22.385561	-0.06460789	-2.1448464	3.0697072	0.015129763	0.118118115	57.0	10.261708974838257
30	4.095588	5.535817	26.0	-1.0	28.75	2.4306183	1.4797764	5.594052	-3.7141473	124000	4.967054e-09	22.549856	-0.06638477	-1.642402	3.0560064	0.015312366	0.12987988	62.0	10.61660099029541
31	4.6846156	6.1319275	38.0	-1.0	29.776922	2.7297225	1.612626	7.040294	-5.273434	128000	2.483527e-09	31.62837	-0.06625545	-2.4113028	3.0344098	0.015281769	0.12837838	66.0	10.970628023147583
32	4.8110237	6.5143476	54.0	-1.0	30.417322	2.95561	1.617375	6.782239	-4.320797	132000	7.450581e-09	39.666775	-0.0694421	-3.55735	3.0260696	0.015071089	0.13913915	69.0	11.331827163696289
33	3.9571428	6.2870293	37.0	-1.0	27.942858	3.4122221	1.6328825	6.7053165	-4.784339	136000	-9.934108e-09	33.93323	-0.06358378	-3.7103071	3.0120823	0.015026577	0.13288288	72.0	11.701143026351929
34	4.8671875	5.745067	26.0	-1.0	30.632812	2.724432	1.7108067	5.76702	-5.454926	140000	9.934108e-09	24.13292	-0.069506966	-1.9741036	2.9832242	0.015078757	0.1423924	71.0	12.068279027938843
35	4.426357	5.7557187	28.0	-1.0	30.620155	2.9746387	1.7796638	6.240488	-4.9148064	144000	0.0	25.4209	-0.07635739	-2.3395112	2.9873645	0.015057367	0.18293293	73.0	12.437471866607666
36	5.176	6.796545	50.0	-1.0	31.376	3.0661137	1.6580085	6.284688	-3.9837813	148000	1.4901161e-08	42.284946	-0.06292065	-3.174571	2.9612987	0.015169699	0.11361361	60.0	12.780627250671387
37	5.5238094	7.889831	50.0	-1.0	31.150793	3.4367557	1.6767985	7.0915966	-4.275408	152000	9.934108e-09	58.99956	-0.05901401	-5.730787	2.9350023	0.015071739	0.09384384	56.0	13.115521907806396
38	4.959677	5.9991927	26.0	-1.0	31.314516	4.164128	1.6149487	8.299091	-3.5256786	156000	9.934108e-09	28.95003	-0.06260977	-3.9953415	2.9103203	0.015096362	0.118868865	55.0	13.449649095535278
39	4.910569	5.092651	23.0	-1.0	31.682926	3.282231	1.8661987	6.946699	-5.117855	160000	0.0	21.287348	-0.07103512	-2.0285075	2.9142368	0.01516755	0.1624124	66.0	13.803354024887085
40	4.1679387	5.1794553	24.0	-1.0	29.671755	2.9272566	1.7316968	6.1718817	-5.36528	164000	-3.7252903e-09	20.716562	-0.06561266	-1.7291063	2.9030437	0.015080686	0.1604104	70.0	14.172827005386353
41	5.894309	8.964984	62.0	-1.0	31.617886	2.7704906	1.7195958	6.5105624	-5.0536485	168000	-1.7384687e-08	77.11115	-0.06213225	-9.987863	2.8783379	0.015231176	0.12562563	66.0	14.532567977905273
42	5.672414	6.695052	37.0	-1.0	33.21552	4.402526	1.6047417	8.086865	-3.5496466	172000	-4.967054e-09	35.944427	-0.058576584	-3.0568027	2.832164	0.015276067	0.08833834	53.0	14.860225915908813
43	5.866667	6.8312187	36.0	-1.0	32.683334	3.694477	1.8729942	7.477708	-4.306748	176000	1.4901161e-08	35.66008	-0.06265611	-2.3989418	2.8538437	0.0151694985	0.12612613	64.0	15.218077182769775
44	6.7297297	7.048029	29.0	-1.0	34.846848	3.769346	1.9575114	7.9475107	-4.5200915	180000	0.0	36.701527	-0.060496252	-2.9557927	2.80913	0.015134999	0.12287287	64.0	15.57224702835083
45	5.915254	8.595009	51.0	-1.0	32.73729	4.365309	1.9843115	8.269562	-5.4842057	184000	-1.9868216e-08	68.33581	-0.065161705	-6.2312894	2.78138	0.015214679	0.1458959	74.0	15.95603084564209
46	5.6	6.668833	38.0	-1.0	32.425	4.7233	1.8101821	8.413843	-3.9253721	188000	-1.4901161e-08	34.87869	-0.06506673	-3.264631	2.7906616	0.01506739	0.13613613	69.0	16.316091060638428
47	5.369748	6.59114	31.0	-1.0	32.672268	3.6748712	2.2129362	7.6445017	-6.248777	192000	3.7252903e-09	33.350903	-0.06977606	-2.2630727	2.7489922	0.012935302	0.1604104	79.0	16.70063829421997
48	6.3846154	9.135118	64.0	-1.0	33.25641	3.7031925	1.9937724	7.7751155	-5.2187524	196000	-9.934108e-09	73.251175	-0.061833184	-6.2339044	2.732398	0.015109494	0.14414416	73.0	17.085459232330322
49	5.59322	7.1322107	40.0	-1.0	32.974575	4.6025257	2.0334632	8.663717	-4.4585624	200000	1.2417634e-08	41.42494	-0.065597035	-3.3936818	2.7226248	0.015224621	0.13588588	68.0	17.46078109741211
50	7.117117	8.007586	33.0	-1.0	35.414413	3.6901257	2.2537043	7.8556476	-7.5109696	204000	4.967054e-09	48.00465	-0.064147286	-4.1615534	2.6733544	0.015117536	0.1483984	65.0	17.82724905014038
51	5.5309734	4.9726167	24.0	-1.0	34.221237	4.755411	2.1449695	8.909522	-5.9951005	208000	9.934108e-09	24.093033	-0.06544662	-2.946399	2.6275985	0.015153841	0.15415415	73.0	18.203598976135254
52	6.4086957	7.123624	34.0	-1.0	33.852173	3.5729332	2.1715822	7.196291	-5.011023	212000	-4.967054e-09	37.547405	-0.065743566	-2.599898	2.6636322	0.015041892	0.1614114	77.0	18.580520153045654
