Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.7821229	3.2789347	20.0	-1.0	22.078213	-0.14000842	0.054699425	0.08459163	-0.2946785	4000	-9.934108e-09	10.8920355	-0.035580043	-3.275327	3.3864791	0.011343054	0.0518018	79.0	0.43889498710632324
1	1.6353592	3.9902742	28.0	-1.0	21.618784	0.86645406	0.70297855	2.7467735	-1.6666334	8000	9.934108e-09	15.922353	-0.041127186	-4.503629	3.3822775	0.008713401	0.054804802	79.0	0.8592538833618164
2	2.0581396	3.773699	24.0	-1.0	22.686047	1.0189561	1.4322032	6.8157644	-3.5113873	12000	2.483527e-09	12.693347	-0.046373833	-3.7901795	3.3781674	0.010667455	0.074074075	79.0	1.2732031345367432
3	2.0988371	3.5267415	18.0	-1.0	22.994186	1.3676411	1.3466841	4.991105	-3.772757	16000	-6.208817e-09	10.479554	-0.051592965	-3.0138943	3.3730023	0.007981588	0.10135135	79.0	1.733003854751587
4	2.0588236	3.4174395	21.0	-1.0	23.135294	1.1935563	1.3697164	5.508518	-4.144762	20000	9.934108e-09	11.054908	-0.055307332	-3.2365048	3.3655052	0.010675773	0.12237237	79.0	2.187432050704956
5	1.9367816	3.3769882	16.0	-1.0	22.637932	1.1031008	1.2755699	3.9319835	-4.02475	24000	0.0	9.363957	-0.05694707	-1.7972045	3.3588078	0.010641373	0.13013013	79.0	2.640420913696289
6	2.6380367	4.1943903	28.0	-1.0	24.226994	1.0944233	1.1387731	4.3931828	-3.37739	28000	1.2417635e-09	16.049427	-0.05948645	-4.9971046	3.3464222	0.011999484	0.13713714	79.0	3.095133066177368
7	2.1235294	4.1262474	29.0	-1.0	22.888235	1.906301	1.5039748	5.969813	-4.026558	32000	-1.6142925e-08	15.991826	-0.05775204	-3.9381115	3.3407085	0.014700609	0.1403904	79.0	3.552574872970581
8	2.4817073	5.041864	45.0	-1.0	23.878048	1.3794613	1.330989	5.7524333	-3.9582045	36000	-2.483527e-09	27.365334	-0.05229183	-9.343911	3.3292205	0.012947541	0.1413914	79.0	4.005060911178589
9	1.9011627	3.1376553	13.0	-1.0	22.651163	1.6344206	1.7176849	7.227275	-5.4830513	40000	-7.450581e-09	10.52386	-0.06820777	-3.68381	3.3168793	0.011681045	0.16641642	79.0	4.458761930465698
10	2.28125	3.8327076	20.0	-1.0	24.60625	1.254612	1.064089	6.0046506	-4.055887	44000	-1.2417634e-08	11.846532	-0.05740598	-2.8791409	3.3060372	0.015206655	0.13788788	63.0	4.886120080947876
11	2.423313	3.9395676	20.0	-1.0	24.141104	1.3736799	1.3511595	5.3561645	-3.5227475	48000	-1.9868216e-08	13.026557	-0.06337739	-3.148586	3.3004673	0.015019927	0.16916919	74.0	5.330675840377808
12	2.7922077	5.024195	37.0	-1.0	25.396105	1.5393646	1.1954899	5.387652	-3.527688	52000	1.2417634e-08	20.142366	-0.04787856	-4.6657796	3.2856882	0.015156295	0.116116114	52.0	5.7243828773498535
13	2.3190184	3.5544932	19.0	-1.0	24.17178	2.0088134	1.6213964	7.701655	-3.266179	56000	3.7252903e-09	11.1356125	-0.06226184	-3.2588947	3.2774668	0.015017184	0.16941941	74.0	6.172598838806152
14	2.7532468	3.888564	17.0	-1.0	25.318182	1.2661052	1.4583004	6.839251	-3.7543921	60000	-1.9868216e-08	13.033791	-0.059943438	-4.1046534	3.2649958	0.01502197	0.1498999	66.0	6.598979949951172
15	3.4333334	4.5991545	22.0	-1.0	26.1	1.7235848	1.6111181	7.1498604	-2.5485544	64000	-4.967054e-09	18.139406	-0.059181217	-6.2697315	3.247721	0.015037666	0.14364363	55.0	6.9994001388549805
16	3.375839	4.81953	27.0	-1.0	26.18792	2.3472824	1.943057	9.222435	-3.547641	68000	-1.6142925e-08	20.215532	-0.06052682	-6.253245	3.2331645	0.015179125	0.1574074	61.0	7.424484014511108
17	3.5448277	5.2758126	28.0	-1.0	26.951725	2.0886023	2.0282393	9.573952	-4.798429	72000	1.2417634e-08	22.845633	-0.05635451	-7.4186745	3.2121258	0.015089195	0.1514014	55.0	7.8296120166778564
18	3.4081633	5.279604	39.0	-1.0	26.530613	2.42303	1.8628291	9.308674	-3.151754	76000	0.0	23.688795	-0.05532441	-7.1972623	3.2003667	0.0151416315	0.1433934	58.0	8.239435911178589
19	3.1768708	4.5932527	28.0	-1.0	26.530613	2.1396391	1.8412175	7.4388285	-3.6889896	80000	-1.3659398e-08	20.669691	-0.067547254	-8.017608	3.1815987	0.015158097	0.20295294	75.0	8.688517093658447
20	3.5	4.322802	21.0	-1.0	27.253521	2.0327632	1.8953248	8.752542	-4.0225606	84000	-2.483527e-09	14.355327	-0.05595438	-4.364879	3.1705182	0.015006316	0.1428929	50.0	9.085668087005615
21	3.867133	5.149836	24.0	-1.0	27.223776	2.203323	1.8441031	7.8865623	-2.9697466	88000	-1.2417634e-08	22.32103	-0.06100219	-5.686523	3.1430447	0.015126913	0.1559059	54.0	9.487256050109863
22	3.5753424	5.009355	24.0	-1.0	26.671232	2.7009432	1.7635301	9.237989	-2.7516434	92000	-4.967054e-09	24.00028	-0.057797562	-6.518126	3.128741	0.015240304	0.13113113	48.0	9.880053997039795
23	3.3617022	4.5246005	22.0	-1.0	27.631207	2.574788	1.5612307	8.783108	-2.2139382	96000	4.967054e-09	16.587538	-0.044486303	-3.7344844	3.1113892	0.015073474	0.09834835	36.0	10.250166893005371
24	4.273381	7.125601	34.0	-1.0	28.23741	2.0059817	1.4992137	7.70783	-2.4257634	100000	4.967054e-09	45.777283	-0.052864853	-15.065308	3.0865812	0.01519647	0.11411411	47.0	10.642369985580444
25	5.2671757	6.570608	31.0	-1.0	30.198473	3.1353922	2.3171642	13.862404	-3.2390049	104000	-2.483527e-09	37.68521	-0.06331607	-11.376904	3.069584	0.015216528	0.1664164	55.0	11.046642065048218
26	4.6766915	7.7348433	43.0	-1.0	29.55639	3.523948	2.1497254	11.009089	-2.5769472	108000	0.0	51.45805	-0.06192358	-19.323656	3.046394	0.015221844	0.16141142	73.0	11.487514019012451
27	4.0656934	4.6075225	22.0	-1.0	28.781021	3.8753197	2.6058838	13.650763	-2.1361156	112000	2.483527e-09	21.377497	-0.06774458	-8.3676	3.035827	0.015109837	0.20195194	70.0	11.922821044921875
28	4.038168	4.455727	24.0	-1.0	29.564886	2.7547421	1.793343	9.851381	-1.2556827	116000	-2.483527e-09	17.89534	-0.06063546	-5.6232376	3.0030868	0.01514138	0.16216217	53.0	12.322597026824951
29	3.5413535	4.0901704	19.0	-1.0	29.451128	2.582042	1.7413096	8.175566	-1.3319172	120000	0.0	13.772931	-0.057042096	-3.114337	2.9917767	0.0150483055	0.14089088	47.0	12.71103286743164
30	3.7709923	5.184482	27.0	-1.0	29.480917	2.228969	1.4609615	9.284691	-1.3288271	124000	9.934108e-09	21.503958	-0.05954699	-6.1197753	2.9768763	0.015256885	0.1478979	57.0	13.127515077590942
31	4.712121	6.2951765	35.0	-1.0	29.757576	2.403951	1.7945843	8.983019	-1.5546576	128000	1.3038516e-08	32.139675	-0.06097718	-8.396506	2.9693725	0.015021482	0.16716714	65.0	13.553712129592896
32	4.672	6.8326	47.0	-1.0	31.104	3.0013897	2.1060474	10.473204	-1.7180827	132000	-1.9868216e-08	39.63505	-0.056172866	-13.579381	2.964135	0.015013839	0.16566567	58.0	13.963912010192871
33	5.264	6.8095746	36.0	-1.0	31.088	3.9084904	2.7256296	12.988644	-2.3145976	136000	9.934108e-09	49.450146	-0.049512953	-20.10697	2.9267943	0.015025467	0.11486486	42.0	14.342197895050049
34	5.7	6.460908	33.0	-1.0	32.158333	3.9478676	2.8375993	16.999996	-2.546531	140000	-4.967054e-09	39.82567	-0.054485783	-14.8077965	2.910691	0.015044436	0.15065065	46.0	14.726207971572876
35	6.0588236	6.877431	39.0	-1.0	32.630253	3.948542	2.5807354	13.5863	-2.2682796	144000	7.450581e-09	40.68502	-0.06319135	-12.330134	2.8926322	0.0152005255	0.1886887	65.0	15.151679992675781
36	6.042017	7.1648006	36.0	-1.0	32.672268	4.0896125	2.3973596	15.90041	-1.0053368	148000	-1.4901161e-08	43.81053	-0.05502532	-9.468712	2.8787758	0.015100109	0.12937939	47.0	15.538724899291992
