Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.017182	4.12307	26.0	-1.0	13.731958	-0.12008201	0.00083289924	-0.116838425	-0.12428038	4000	4.7683715e-09	9.104192	-0.003552882	-1.6934404	2.285748	0.0065685357	0.023	79.0	26.91976308822632
1	2.1388888	4.10134	27.0	-1.0	13.850695	1.1368599	0.40253383	1.7593967	0.25044194	8000	-5.4836273e-09	7.613802	-0.01043041	-0.34962463	2.281978	0.008887544	0.0655	79.0	54.21307897567749
2	2.3321428	4.714761	45.0	-1.0	14.242857	0.9328402	0.71255237	2.8885207	-0.75913155	12000	4.768372e-10	8.3342905	-0.022874458	-0.2654667	2.2650049	0.013617578	0.1575	79.0	81.43690228462219
3	2.7	4.833425	33.0	-1.0	15.956	1.2830195	0.68963623	3.7176585	-0.54510844	16000	-9.536744e-10	8.424038	-0.025883107	-0.630064	2.260365	0.010178011	0.18575	79.0	108.6757800579071
4	4.0091743	6.4459577	34.0	-1.0	18.307339	1.2419537	0.92551816	4.373256	-1.6553891	20000	3.3378602e-09	12.652138	-0.02126317	-1.4690056	2.2321737	0.009191412	0.12275	79.0	136.17401599884033
5	4.3872547	6.159803	39.0	-1.0	19.607843	2.012371	1.1643279	7.1720862	-1.8729969	24000	4.768372e-10	10.299899	-0.021126093	-0.6563139	2.2018523	0.009788305	0.1325	79.0	163.72856187820435
6	5.7431693	8.177982	45.0	-1.0	21.748634	2.0625455	1.1090984	6.057965	-1.4456177	28000	-1.9192695e-08	14.848126	-0.019415626	-1.084794	2.1874855	0.010152746	0.113	79.0	191.01950907707214
7	7.0240965	9.207089	46.0	-1.0	24.054216	2.7233377	1.3210198	6.355822	-2.0646946	32000	-4.768372e-10	16.65468	-0.021577073	-1.1771011	2.1491032	0.010805097	0.131	79.0	218.06589794158936
8	7.3607593	8.48246	47.0	-1.0	25.29114	3.0816958	1.5485204	7.405957	-2.2733836	36000	-2.384186e-10	14.317345	-0.02198859	-1.0198736	2.0973823	0.009134617	0.133	79.0	245.1180181503296
9	8.582191	12.043163	65.0	-1.0	27.376713	3.1374002	1.5674944	7.1393504	-2.253803	40000	3.5762787e-10	19.975803	-0.022287453	-1.9125118	2.0710466	0.010549041	0.118	79.0	272.1669409275055
10	8.544218	9.598207	53.0	-1.0	27.210884	3.7033393	1.988001	9.365616	-1.912787	44000	4.7683715e-09	15.701288	-0.023654386	-1.3006592	2.0173912	0.012168052	0.14125	79.0	299.2080500125885
11	10.633588	12.384556	72.0	-1.0	30.19084	3.4948573	1.7777421	8.34242	-1.6186551	48000	-5.4836273e-09	19.220993	-0.022907393	-1.8772125	1.9668018	0.011349684	0.1355	79.0	326.2894170284271
12	11.118111	14.350294	88.0	-1.0	31.417322	4.326224	1.9346775	9.891963	-1.0944494	52000	-1.525879e-08	20.800613	-0.022716362	-2.156414	1.9406174	0.0086894715	0.113	79.0	354.22542428970337
13	10.8	11.4572115	55.0	-1.0	30.723078	4.390613	1.93169	9.611129	-1.6174589	56000	-1.6689301e-09	18.708025	-0.024267282	-1.5970993	1.9138938	0.011188551	0.12375	79.0	381.6053681373596
14	10.285714	10.777591	57.0	-1.0	31.412699	4.316304	1.8194525	8.443067	-1.608655	60000	8.523465e-09	15.332439	-0.023661299	-1.2248335	1.8851708	0.010026458	0.1035	79.0	408.51143407821655
15	10.891473	11.633446	53.0	-1.0	30.930233	3.9398599	1.8664709	9.045936	-1.277206	64000	-1.07288365e-08	18.218842	-0.0015301838	-1.4352932	1.8590754	0.015558848	0.22	6.0	424.50806617736816
16	11.942149	12.553554	55.0	-1.0	33.02479	4.3267508	1.9014174	11.203735	-1.3114303	68000	-1.5974045e-08	17.658533	-0.023029294	-1.6482487	1.8241411	0.009633783	0.13	79.0	451.95928287506104
17	11.82906	14.819305	74.0	-1.0	33.760685	4.495521	2.0100174	10.604859	-1.5336127	72000	2.384186e-10	18.403898	-0.023128899	-1.7528458	1.816373	0.007681644	0.115	79.0	479.5973970890045
18	13.088495	13.750982	61.0	-1.0	35.035397	4.378074	1.9576011	11.001665	-1.6940962	76000	2.2053719e-08	18.864033	-0.025403727	-2.1774578	1.790243	0.0083865905	0.129	79.0	507.7431380748749
19	15.54369	16.806017	88.0	-1.0	38.699028	4.613673	2.0699062	11.180093	-1.7865242	80000	-7.152557e-09	22.393148	-0.02231947	-2.6690369	1.7549207	0.010141277	0.10625	79.0	535.0483620166779
20	14.201835	14.867476	66.0	-1.0	36.412846	5.515105	2.0134714	11.462894	-1.5947667	84000	8.46386e-09	21.133696	-0.028830638	-1.9437504	1.723856	0.011382614	0.14475	79.0	562.3098711967468
21	14.692307	17.787786	106.0	-1.0	38.057693	5.271831	2.0079548	11.762384	-1.4960054	88000	1.8954276e-08	21.599482	-0.02363694	-1.8751888	1.6838161	0.0064543476	0.12025	79.0	589.749272108078
22	17.458334	16.795904	83.0	-1.0	41.604168	5.3013144	1.8113078	9.729026	-1.9469004	92000	1.6212464e-08	21.740057	-0.025625726	-2.3396893	1.6642214	0.012390068	0.1325	79.0	617.5427289009094
23	15.80198	14.30642	63.0	-1.0	39.33663	5.745944	2.0797722	11.740191	-2.1257699	96000	7.987023e-09	19.01087	-0.023646843	-2.221861	1.6554589	0.015335969	0.16575	77.0	645.5131042003632
24	17.031916	16.459139	80.0	-1.0	41.861702	5.2942853	2.1497188	11.766157	-2.055181	100000	1.1503697e-08	18.9913	-0.02499697	-2.1044579	1.642502	0.01253985	0.125	79.0	672.5218172073364
25	19.056818	20.516268	106.0	-1.0	44.988636	5.7777557	2.195986	12.381822	-1.7889152	104000	1.8119811e-08	20.420687	-0.021766609	-2.1331387	1.607846	0.014585903	0.14675	79.0	699.4527471065521
26	21.580246	23.199013	119.0	-1.0	49.135803	6.00895	2.1173823	11.172127	-1.5125171	108000	1.513958e-08	22.428463	-0.028000288	-3.2008	1.5769361	0.010643631	0.139	79.0	726.3670761585236
27	22.820513	22.985361	133.0	-1.0	51.24359	6.542827	2.2253964	12.8041115	-1.5351557	112000	-4.7683715e-09	22.275904	-0.021518052	-3.3727074	1.5402361	0.015263957	0.124	54.0	749.9532861709595
28	23.052631	26.199085	133.0	0.0	52.57895	6.6096945	2.1076477	12.99308	-1.5916102	116000	1.0609627e-08	22.307629	-0.022607664	-3.77919	1.541448	0.013224464	0.13425	79.0	777.7531552314758
29	20.654762	18.401924	87.0	-1.0	47.488094	6.273512	2.321176	14.420679	-2.122	120000	2.4855137e-08	21.182573	-0.02940954	-3.4932327	1.5252413	0.011304565	0.16175	79.0	805.1713149547577
30	20.465117	20.53171	86.0	-1.0	46.511627	6.2181516	2.238937	12.47643	-1.8958279	124000	-2.6702882e-08	22.578241	-0.024604233	-3.1037445	1.4814599	0.013513312	0.128	79.0	832.4976272583008
31	23.06579	23.585419	110.0	-1.0	52.11842	6.4521904	2.1853464	12.615207	-1.5728406	128000	-5.3048135e-09	20.89473	-0.025263667	-2.801035	1.4502115	0.010641149	0.1185	79.0	860.9693949222565
32	24.945946	26.73387	124.0	-1.0	53.567566	6.5989323	2.1649415	14.479739	-1.5260028	132000	2.503395e-09	23.012562	-0.028981127	-3.3651333	1.4330674	0.012892431	0.13625	79.0	888.3311831951141
33	28.014925	28.52885	137.0	0.0	58.955223	7.2695074	2.1953683	17.857273	-1.3863151	136000	6.377697e-09	23.76884	-0.027174782	-4.3052826	1.4269717	0.011284528	0.11875	79.0	915.2627220153809
34	25.123287	25.473566	134.0	-1.0	54.342464	7.3368597	2.5247607	22.922861	-1.8567519	140000	1.26361845e-08	24.310047	-0.02676407	-4.7438774	1.3934443	0.009113157	0.1345	79.0	942.2313752174377
35	29.625	27.154362	111.0	0.0	62.5	6.951988	2.1836421	15.317512	-1.5020455	144000	-1.7881393e-09	22.10246	-0.02455248	-3.4552746	1.3974876	0.009106285	0.11175	79.0	969.1773090362549
36	31.109375	30.587538	139.0	-1.0	62.46875	7.353612	2.102744	16.45146	-1.9324509	148000	-1.7881393e-09	25.11043	-0.02692949	-3.7653904	1.3946896	0.012128973	0.1335	79.0	997.7085161209106
37	30.85484	35.60982	223.0	0.0	63.66129	8.192858	2.6625254	17.976423	-1.8506234	152000	1.2516975e-08	23.49253	-0.027062574	-4.424959	1.3767955	0.010080028	0.1195	79.0	1024.7036390304565
38	35.298244	35.5182	207.0	0.0	70.070175	7.6619387	2.1098802	15.940843	-1.5268369	156000	9.059906e-09	23.110638	-0.02713135	-4.569624	1.3916353	0.007675814	0.12975	79.0	1052.0944912433624
39	47.627907	50.955532	271.0	1.0	91.83721	8.232718	2.1873972	19.970045	-1.5822301	160000	7.1525574e-10	21.286211	-0.026687795	-4.619055	1.3626117	0.0127247395	0.14975	79.0	1079.0573160648346
40	33.793102	35.981678	164.0	-1.0	68.81035	8.662199	2.07838	14.534841	-1.9020698	164000	-1.3351441e-08	23.866512	-0.028323183	-4.199707	1.321532	0.012053106	0.128	79.0	1105.9970879554749
41	29.676924	24.973898	111.0	-1.0	61.06154	7.821074	2.194267	17.546951	-1.499469	168000	5.722046e-09	24.092545	-0.010635845	-3.4489079	1.3272568	0.015639115	0.12925	14.0	1123.214646100998
42	46.75	45.6006	184.0	-1.0	90.09091	7.634564	1.9376371	15.204626	-1.1281533	172000	-5.00679e-09	23.740545	-0.02525233	-4.463423	1.3152554	0.011007475	0.1325	79.0	1150.1308810710907
43	48.536587	44.59908	165.0	1.0	92.12195	8.960664	1.9048337	15.916296	-1.2252939	176000	-9.059906e-09	23.191536	-0.02541086	-4.0575714	1.2889967	0.00653129	0.1245	79.0	1177.0383360385895
44	53.794872	60.204853	298.0	-1.0	101.61539	9.156172	2.062314	20.026793	-1.2833427	180000	2.5987624e-08	20.141636	-0.02892443	-4.192133	1.2612157	0.011852299	0.1405	79.0	1203.8851571083069
45	31.62069	30.615429	153.0	-1.0	66.37931	9.073939	2.0676072	18.235249	-1.8195134	184000	9.6559525e-09	22.663351	-0.028388968	-5.3832893	1.2161521	0.014328071	0.1275	79.0	1230.732511997223
46	46.613636	52.859257	220.0	-1.0	89.045456	7.605506	2.3642633	18.72719	-1.8090973	188000	4.148483e-08	24.915699	-0.025393112	-5.8577404	1.2141653	0.009094808	0.1325	79.0	1257.5506858825684
47	46.68889	39.3208	194.0	-1.0	88.82222	8.968233	2.0689456	19.305204	-1.0907525	192000	-2.6643276e-08	22.841646	-0.026730562	-3.491293	1.1861682	0.007250945	0.1355	79.0	1284.3972082138062
48	39.04	45.28044	195.0	-1.0	77.38	8.855126	1.9202517	21.472603	-1.9057603	196000	-1.513958e-08	22.364199	-0.026323711	-4.105589	1.2147496	0.008212094	0.12325	79.0	1311.1872980594635
49	39.42	41.844036	169.0	0.0	77.46	8.642355	2.1626537	17.456038	-1.9364518	200000	3.8146974e-09	23.691784	-0.026886055	-4.098219	1.2116727	0.008320956	0.11825	79.0	1338.0378141403198
